index,Наименование параметра,16Б16Ф3
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр обрабатываемого изделия над станиной, мм",320
3,"Наибольший диаметр обрабатываемого изделия над суппортом, мм",160
4,"Наибольшая длина обрабатываемого изделия, мм",710
5,"Высота резца, мм",25
6,Количество инструментов в резцедержателе,4
7,Шпиндель,
8,Количество рабочих скоростей шпинделя,17
9,Число ступеней автоматически переключаемых частот вращения шпинделя,12
10,"Диаметр отверстия в шпинделе, мм",
11,"Наибольший диаметр прутка, проходящий через отверстие в шпинделе, мм",34
12,"Диапазон скоростей шпинделя, переключаемых по программе, об/ми","45..560, 140..1800"
13,"Диапазон скоростей шпинделя, устанавливаемый вручную, об/мин",45..1800
14,Центр шпинделя передней бабки по ГОСТ 13214-67,Морзе 5
15,Конец шпинделя по ГОСТ 12593-72,6К
16,"Наибольший крутящий момент на шпинделе, Нм",
17,"Предельный диаметр сверления по стали/ чугуну, мм",
18,Подачи,
19,"Наибольшее перемещение суппорта продольное, мм",700
20,"Дискретность перемещения суппорта продольная / поперечная на один шаг, мм","0,01/ 0,005"
21,"Наибольшее перемещение суппорта поперечное, мм",240
22,"Диапазон скоростей продольных подач, мм/мин",1..1200
23,"Диапазон скоростей поперечных подач, мм/мин",1..600
24,"Скорость быстрых продольных/ поперечных ходов, м/мин","4,8/ 2,4"
25,"Пределы шагов нарезаемых цилиндрических резьб, мм",02..10
26,"Точность позиционирования по оси X, мм",
27,"Точность позиционирования по оси Z, мм",
28,"Среднеквадратичное отклонение от заданного перемещения по оси X, мм",
29,"Среднеквадратичное отклонение от заданного перемещения по оси Z, мм",
30,"Точность обработки в партии деталей из 5 шт. (допуск на размах) по диаметру (Ø = 84 мм), мм",
31,"Точность обработки в партии деталей из 5 шт. (допуск на размах) по длине (L = 30 мм), мм",
32,"Наибольшее усилие резания, Н",
33,Задняя бабка,
34,"Ход пиноль задней бабки, мм",
35,Центр пиноли задней бабки по ГОСТ 13214-67,
36,Параметры системы ЧПУ,
37,Обозначение системы ЧПУ,Н22-1М
38,Система отсчета,В приращениях
39,Число координат/ одновременно управляемых координат,2/ 2
40,"Разрешающая способность в продольном направлении (дискретность задания по оси Z), мм",001
41,"Разрешающая способность в поперечном направлении (дискретность задания по оси X), мм",0005
42,Тип датчика обратной связи,
43,Тип резьбонарезного датчика,ИГР
44,Электрооборудование. Привод,
45,Количество электродвигателей на станке,
46,"Электродвигатель привода главного движения, кВт (об/мин)","3,8/ 6,3 (750/ 1500)"
47,"Электродвигатель привода продольных подач, Н*м",
48,"Электродвигатель привода поперечных подач, Н*м",
49,"Электродвигатель револьверной головки, кВт",-
50,"Электродвигатель привода пиноли, кВт",-
51,"Электродвигатель гидростанции, кВт",
52,"Электродвигатель станции смазки, кВт",
53,"Электродвигатель насоса охлаждения, кВт",
54,"Суммарная мощность электродвигателей, кВт",
55,"Суммарная потребляемая мощность станка, кВт",
56,Габариты и масса станка,3065 х 2395 х 1860
57,"Масса станка с ЧПУ, кг",2500
