index,Наименование параметра,УДГ Н-100
0,Основные параметры,
1,"Высота центров, мм",100
2,"Наибольший диаметр обрабатываемой детали, мм",200
3,"Угол поворота шпинделя в вертикальной плоскости вверх от линии центров: не менее, град",95°
4,"Угол поворота шпинделя в вертикальной плоскости вниз от линии центров: не менее, град",5°
5,"Резьба рабочего конца шпинделя, мм",М39 х 4
6,Конус шпинделя,Морзе №3
7,"Диаметр отверстия шпинделя, мм",20
8,"Диаметр такарного патрона, мм",
9,Передаточное отношение червячной пары,1 : 40
10,"Ширина направляющих шпонок (сухарей), мм",14
11,Непосредственное деление (с помощью лобового диска на шпинделе),
12,Количество дисков на шпинделе,1
13,"Цена деления лимба непосредственного деления, град",10°
14,Простое деление,
15,Количество делительных дисков,1 двусторонний
16,Число отверстий делительного диска,1617192123293031
17,Число отверстий делительного диска на другой стороне,3337394143474954
18,Дифференциальное деление,
19,"Диапазон деления, включая простые числа",2..400
20,Модуль сменных шестерен,15
21,Количество сменных шестерен,12
22,Число зубъев колес,25;30;35;40;50;5560;70;80;90;100
23,Задняя бабка,
24,"Конус пиноли задней бабки, мм",Морзе № 2
25,"Длина хода пиноли задней бабки, мм",25
26,"Высота подъема пиноли задней бабки, мм",
27,Габариты и масса делительной головки,
28,"Габаритные размеры основания головки, мм",140 х 210
29,"Расстояние от основания головки до торца шпинделя при его вертикальном положении, мм",214
30,"Масса делительной головки, кг",32
