index,Наименование параметра,6В75
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,Н
2,"Размеры горизонтального (углового) стола, мм",200 х 630
3,"Размеры вертикального стола, мм",195 х 550
4,"Наибольшие размеры обрабатываемой с одной установки детали (длина х ширина х высота), кг",
5,"Расстояние от оси горизонтального шпинделя до рабочей поверхности горизонтального стола, мм",70..360
6,"Расстояние от торца вертикального шпинделя до рабочей поверхности горизонтального стола, мм",22..312
7,"Наибольший вылет оси вертикального шпинделя, мм",
8,"Наибольший продольный ход стола (X), мм",250
9,"Наибольший вертикальный ход стола (Z), мм",290
10,"Наибольший поперечный ход шпиндельной бабки (Y), мм",150
11,"Цена деления лимбов, мм",0025
12,Горизонтальный и вертикальный шпиндели станка,
13,"Частота вращения горизонтального шпинделя, об/мин",95..1650
14,"Частота вращения вертикального шпинделя, об/мин",110..1860
15,Количество скоростей шпинделей,6
16,"Наибольший допустимый крутящий момент на горизонтальном шпинделе, Нм",
17,"Наибольший допустимый крутящий момент на вертикальном шпинделе, Нм",
18,"Наибольшее осевое перемещение вертикального шпинделя, мм",60
19,"Наибольший угол поворота вертикальной головки в вертикальной плоскости, градус",±45°
20,Конус горизонтального и вертикального шпинделей,Морзе 4
21,Стол,
22,"Пределы продольных и вертикальных подач стола (X, Z), мм/мин",175..178
23,"Ускоренный ход стола, мм/мин",нет
24,Количество подач стола,6
25,"Наибольшее усилие подач стола, Н",
26,Шпиндельная бабка,
27,"Пределы поперечных подач шпиндельной бабки (Y), мм/мин",нет
28,Количество подач шпиндельной бабки,-
29,"Наибольшее усилие подач шпиндельной бабки, Н",
30,"Ускоренный ход шпиндельной бабки, мм/мин",
31,Электрооборудование и привод станка,
32,Количество электродвигателей на станке,2
33,"Электродвигатель главного привода, кВт (об/мин)",17
34,"Электродвигатель привода подач, кВт (об/мин)",нет
35,"Электродвигатель привода насоса охлаждения, кВт",012
36,"Суммарная мощность электродвигателей, кВт",182
37,Габарит и масса станка,
38,"Габариты станка (длина х ширина х высота), мм",1150 х 1100 х 1600
39,"Масса станка, кг",855
