index,Наименование параметра,УТ61ПМ
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольший диаметр заготовки обрабатываемой над станиной, мм",320
3,"Высота центров, мм",175
4,"Наибольший диаметр заготовки обрабатываемой над суппортом, мм",170
5,"Наибольшая длина устанавливаемой детали РМЦ, мм",750
6,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",175
7,"Расстояние от оси шпинделя до направляющих станины (высота центров), мм",175
8,Шпиндель,
9,"Диаметр отверстия в шпинделе, мм",32
10,"Диаметр прутка проходящего через отверстие в шпинделе, мм",
11,"Частота вращения шпинделя, об/мин",40..2000
12,Количество прямых и обратных скоростей шпинделя,18
13,Центр в шпинделе по ГОСТ 13214-67,Морзе 5
14,Конец шпинделя по ГОСТ 12595-72,5К
15,Торможение шпинделя,есть
16,Блокировка шпинделя,есть
17,Защита от перегрузок шпинделя,есть
18,Суппорт. Подачи,
19,"Наибольшая длина хода суппорта (каретки) - продольное перемещение от руки, мм",710
20,"Наибольшая длина хода суппорта (каретки) - продольное перемещение по валику, мм",710
21,"Наибольшая длина хода суппорта (каретки) - продольное перемещение по винту, мм",710
22,"Наибольшее поперечное перемещение суппорта от руки, мм",230
23,"Наибольшее поперечное перемещение суппорта по валику, мм",230
24,"Продольное перемещение суппорта на одно деление лимба, мм",01
25,"Продольное перемещение суппорта на один оборот лимба, мм",
26,"Поперечное перемещение суппорта на одно деление лимба, мм",002
27,"Поперечное перемещение суппорта на один оборот лимба, мм",
28,"Наибольшее перемещение верхнего суппорта (резцовых салазок), мм",140
29,"Перемещение верхнего суппорта на одно деление лимба, мм",002
30,"Перемещение верхнего суппорта на один оборот лимба, мм",3
31,Количество подач продольных/ поперечных суппорта,
32,"Пределы подач продольных, мм",0018..11
33,"Пределы подач поперечных, мм",001..0625
34,"Количество нарезаемых резьб метрических, мм",
35,"Количество нарезаемых резьб модульных, мм",
36,"Количество нарезаемых резьб дюймовых, мм",
37,"Пределы шагов метрических резьб нормальной точности, мм",01..56
38,"Пределы шагов метрических резьб повышенной точности, мм",
39,"Пределы шагов модульных резьб нормальной точности, модуль",01..28
40,"Пределы шагов модульных резьб повышенной точности, ниток/дюйм",
41,"Пределы шагов дюймовых резьб нормальной точности, ниток/дюйм",30..60
42,"Пределы шагов дюймовых резьб повышенной точности, ниток/дюйм",
43,"Пределы шагов питчевых резьб нормальной точности, питчей",
44,"Пределы шагов питчевых резьб повышенной точности, ниток/дюйм",
45,"Скорость быстрых перемещений продольных/ поперечных, м/мин",нет
46,"Высота резца, устанавливаемого в резцедержателе, мм",20 х 20
47,Выключающие упоры,есть
48,Задняя бабка,
49,"Наибольшее перемещение пиноли, мм",100
50,"Цена деления лимба задней бабки, мм",005
51,Центр в пиноли по ГОСТ 12595-72,Морзе 3
52,"Поперечное смещение задней бабки, мм",±5
53,"Диаметр сверла при сверлении стали, мм",12
54,"Диаметр сверла при сверлении чугуна, мм",15
55,Электрооборудование станка,
56,Количество электродвигателей на станке,4
57,"Мощность электродвигателя главного привода, кВт (об/мин)","3,2/ 5,3"
58,"Мощность электродвигателя насоса охлаждения, кВт (об/мин)",012
59,"Мощность электродвигателя насоса смазки, кВт (об/мин)",009
60,"Мощность электродвигателя вентилятора, кВт",018
61,Габариты и масса станка,
62,"Габариты станка (длина ширина высота), мм",2110 х 1050 х 1395
63,"Масса станка, кг",1810
