index,Наименование параметра,ТВШ-3
0,Основные параметры станка,
1,Класс точности,
2,"Наибольший диаметр заготовки над станиной, мм",200
3,"Наибольший диаметр заготовки над суппортом, мм",
4,"Высота центров над плоскими направляющими станины, мм",100
5,"Наибольшая длина заготовки в центрах (РМЦ), мм",350
6,"Наибольшая длина обтачивания, мм",350
7,"Наибольшая высота держателя резца, мм",
8,"Высота от опорной поверхности резца до линии центров, мм",14
9,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",90
10,Шпиндель,
11,"Диаметр сквозного отверстия в шпинделе, мм",15
12,"Наибольший диаметр прутка, мм",14
13,Конус Морзе шпинделя,№2
14,Число ступеней частот прямого вращения шпинделя,6
15,"Частота прямого вращения шпинделя, об/мин",
16,Торможение шпинделя,нет
17,Блокировка рукояток,нет
18,Реверсирование,нет
19,Суппорт. Подачи,
20,"Наибольшее продольное перемещение суппорта, мм",350
21,"Перемещение суппорта продольное на одно деление лимба, мм",нет
22,"Наибольшее поперечное перемещение суппорта, мм",
23,"Перемещение суппорта поперечное на одно деление лимба, мм",
24,"Наибольшее перемещение резцовых салазок, мм",
25,"Перемещение резцовых салазок на одно деление лимба, мм",0025
26,"Угол поворота резцовых салазок, град",±45°
27,Число ступеней продольных подач суппорта,3
28,"Пределы продольных рабочих подач суппорта, мм/об","0,04; 0,05; 0,06"
29,"Пределы рабочих поперечных подач суппорта, мм/об",нет
30,Количество нарезаемых резьб метрических,3
31,"Пределы шагов нарезаемых резьб метрических, мм","0,6; 0,8; 1,0"
32,Пределы шагов нарезаемых резьб дюймовых,нет
33,Пределы шагов нарезаемых резьб модульных,нет
34,Пределы шагов нарезаемых резьб питчевых,нет
35,Задняя бабка,
36,Конус Морзе задней бабки,№2
37,"Наибольшее перемещение пиноли, мм",65
38,"Наибольшее поперечное смещение бабки, мм",±7
39,Наличие лимба или линейки перемещения,нет
40,Электрооборудование,
41,"Электродвигатель главного привода, кВт",06
42,Габариты и масса станка,
43,"Габариты станка (длина ширина высота), мм",1100 х 400 х 1150
44,"Масса станка, кг",180
