index,Наименование параметра,5236П
0,Основные параметры станка,
1,Класс точности станка по ГОСТ 8-82 и ГОСТ 659-78,П
2,"Наибольший окружной модуль нарезаемого колеса, мм",05..25
3,"Наибольший средний нормальный модуль нарезаемого колеса, мм",
4,"Внешнее конусное расстояние (длина образующей делительного конуса) обрабатываемых зубчатых колес, мм",7..63
5,"Наибольшее среднее конусное расстояние обрабатываемых зубчатых колес с углом наклона средней линии зуба 30° приобработке зуборезной головкой Ø80 мм, мм",-
6,"Наибольший диаметр нарезаемых колес при передаточном отношении пары 10:1, мм",125
7,"Наибольший диаметр нарезаемых колес при передаточном отношении пары 2:1, мм",110
8,"Наибольший диаметр нарезаемых колес при передаточном отношении пары 1:1, мм",90
9,"Наибольшая длина зуба нарезаемого колеса (Наибольшая ширина зубчатого венца), мм",20
10,"Наибольшая внешняя высота нарезаемого зуба, мм",55
11,Наибольшее число нарезаемых зубьев,12..200
12,Рекомендуемое число нарезаемых зубьев,12..100
13,"Наибольший угол установки суппортов, град",
14,"Расстояние от торца шпинделя бабки изделия до центра полуавтомата, мм",30..140
15,"Угол делительного конуса нарезаемых зубчатых колес (установочный угол бабки изделия), град",5°..90°
16,"Время цикла обработки одного зуба, с",
17,"Угол наклона зуба обрабатываемых зубчатых колес, град",
18,Люлька,
19,"Наибольший угол качания люльки от центрального положения вверх и вниз, град",35°
20,"Поворот люльки при наладке, град",360°
21,"Цена деления окружной шкалы поворота люльки при наладке, град",1°
22,Суппорты,
23,"Наибольший угол установки суппортов, град",8°
24,"Поворот суппорта на одно деление шкалы линейки/ нониуса, мин",30`/ 2`
25,"Наибольший ход резца при любом угле установки суппортов, мм",28
26,"Необходимый выход резца из изделия с тонкого конца зуба, мм",3
27,"Необходимый выход резца из изделия с толстого конца зуба, мм",5
28,Тип зубострогальных резцов по ГОСТ 9392-75,
29,"Число двойных ходов резца в минуту, мин-1","160, 200, 250, 315, 400, 500, 630, 800"
30,"Скорость обкатки - время рабочего хода при нарезании одного зуба (бесступенчатое регулирование), с/зуб",45..685
31,"Угол наклона инструментального шпинделя, град",-
32,"Радиальная установка инструментального шпинделя относительно шпинделя оси люльки, град",-
33,"Частота вращения инструментального шпинделя (бесступенчатое регулирование), об/мин",-
34,Бабка изделия,
35,Конец шпинделя бабки изделия по ГОСТ 17547-72,Морзе 4
36,"Цилиндрическое отверстие шпинделя бабки изделия, мм",Ø20 х 200
37,"Цена деления шкалы линейки/ нониуса установки расстояния от торца шпинделя до центра станка, мм",10..002
38,"Осевая установка бабки изделия, мм",
39,"Наибольшее гипоидное смещение шпинделя изделия относительно нулевого положения вверх/ вниз, мм",
40,Стол,
41,"Ход стола, мм",45
42,"Наибольшее смещение стола от центрального положения, мм",±5
43,Счетчик циклов,есть
44,Автоматическая остановка станка,есть
45,Привод и электрооборудование станка,
46,"Количество электродвигателей, установленных на станке",3
47,"Электродвигатель главного привода, кВт",11
48,"Электродвигатель привода подач, кВт",15
49,"Электродвигатель привода гидронасоса, кВт",15
50,"Суммарная мощность электродвигателей, кВт",41
51,Габаритные размеры и масса станка,
52,"Габаритные размеры станка (длина х ширина х высота), мм",1410 х 1050 х 1415
53,"Масса станка с электрооборудованием и охлаждением, кг",3250
