index,Наименование параметра,5822М
0,Основные параметры станка,
1,Класс точности,Н
2,"Наибольший диаметр устанавливаемого изделия, мм",200
3,"Наибольшая длина устанавливаемого изделия, мм",500
4,"Наибольший угол подъема винтовой линии шлифуемой резьбы, мм",±30
5,"Величина перемещения шлифовальной бабки от механизма быстрого отвода, мм",6
6,"Наибольший диаметр конца шлифовального шпинделя, мм",50
7,Конус отверстия в шпинделе передней бабки и пиноли задней бабки,Морзе 4
8,"Наибольшая масса устанавливаемого изделия, кг",30
9,"Пределы частот вращения шпинделя изделия - рабочих, 1/мин",03..55
10,"Пределы частот вращения шпинделя изделия - ускоренных, 1/мин",28..100
11,"Наибольшая частота вращения шпинделя изделия при затыловании, 1/мин",27
12,"Расстояние между осью шлифовального круга и линией центров, мм",150..275
13,Основные параметры станка при шлифовании наружной резьбы,
14,"Наибольший диаметр шлифуемой резьбы однониточным кругом, мм",3..150
15,"Наибольший диаметр шлифуемой резьбы многониточным кругом, мм",10..120
16,"Наибольшая длина шлифуемой резьбы однониточным кругом (Расстояние от вершины переднего центра до конца зоны шлифования), мм",375
17,"Наибольшая длина шлифуемой резьбы многониточным кругом, мм",335
18,"Шаг метрической остроугольной резьбы, шлифуемой однониточным кругом, мм",025..24
19,"Шаг дюймовой резьбы, шлифуемой однониточным кругом, число ниток на дюйм",28..3
20,"Шаг модульной резьбы, шлифуемой однониточным кругом, модуль","0,3π..14π"
21,"Шаг трапециодальной резьбы, шлифуемой однониточным кругом, мм",
22,"Шаг метрической резьбы, шлифуемой многониточным кругом, мм",1..4
23,"Шаг дюймовой резьбы, шлифуемой многониточным кругом, число ниток на дюйм",24..6
24,"Наибольшая высота профиля шлифуемой модульной резьбы с углом а/2=20°, мм",18
25,"Наибольший ход винтовой линии шлифуемой резьбы, мм",20
26,Число заходов шлифуемой многозаходной резьбы,1234681224
27,"Наибольшая конусность шлифуемой наружной конической резьбы, конусность (град)",1:16 (1°47′24″)
28,"Наибольшая длина шлифуемой наружной конической резьбы, мм",60
29,"Величина затыловочного перемещения шлифовальной бабки, мм",002..25
30,Число затылуемых канавок изделия,"2,3,4,6,8,9, 10,12,14,16"
31,"Шаг метрической остроугольной резьбы на плоской плашке или зубчатой рейке, шлифуемой однониточным кругом, мм",
32,"Шаг метрической остроугольной резьбы на плоской плашке или зубчатой рейке, шлифуемой многониточным кругом, мм",
33,"Шаг дюймовой резьбы на плоской плашке или зубчатой рейке, шлифуемой однониточным кругом, число ниток на дюйм",
34,"Наибольшая ширина и длина плоской плашки или зубчатой рейки,мм",
35,"Половина угла профиля шлифуемой резьбы, град",3..30
36,Окружная скорость шлифовального круга на диаметре 400 м/с,(35;50)±5%
37,"Частота вращения шлифовального круга при наружном шлифовании, 1/мин","1440, 1680, 2010, 2380"
38,Основные параметры станка при шлифовании внутренней резьбы,
39,"Наибольший диаметр устанавливаемого изделия, мм",160
40,"Диаметр шлифуемой резьбы, мм",25..125
41,"Наибольшая длина шлифуемой резьбы при наибольшем ее диаметре однониточным кругом, мм",25..75
42,"Наибольшая длина шлифуемой резьбы при наибольшем ее диаметре многониточным кругом, мм",55
43,"Наибольший угол подъема винтовой линии шлифуемой резьбы, град",±8
44,"Шаг резьбы, шлифуемой однониточным кругом - метрической, мм",05..6
45,"Шаг резьбы, шлифуемой - дюймовой, число ниток на дюйм",28..4
46,"Шаг резьбы, шлифуемой однониточным кругом - модульной, мм","0,2π..2π"
47,"Шаг метрической резьбы, шлифуемой многониточным кругом, мм",1..3
48,Наибольшая конусность шлифуемой внутренней конической резьбы,1:16
49,"Наибольшая длина шлифуемой внутренней конической резьбы, мм",45
50,"Наибольшая высота профиля шлифуемой резьбы, мм",18
51,"Наибольший ход винтовой линии шлифуемой резьбы, мм",20
52,Число заходов шлифуемой многозаходной резьбы,234681224
53,"Высота однониточного шлифовального круга, мм",6
54,"Высота многониточного шлифовального круга, мм",20
55,"Диаметр шлифовального круга, мм",20..100
56,Число ступеней частоты вращения шлифовального круга,2
57,"Окружная скорость шлифовального круга, м/с",35
58,"Частота вращения шлифовального круга при внутреннем шлифовании, 1/мин","6000, 9000, 11800"
59,Стол и бабки,
60,"Наибольшее продольное перемещение стола - от руки/ механически, мм",
61,"Наибольшее поперечное перемещение бабки - от руки/ механически, мм",
62,"Перемещение бабки на одно деление лимба/ один оборот лимба, мм",
