index,Наименование параметра,2А636
0,Основные параметры станка,
1,"Диаметр выдвижного расточного шпинделя, мм",125
2,"Точность установки координат, мм",001
3,"Точность установки поворотного стола, сек",
4,Стол,
5,"Рабочая поверхность стола, мм",1600 х 1800
6,"Наибольшая масса обрабатываемого изделия, кг",10000
7,"Наибольшее перемещение стола поперечное (по оси X), мм",2000
8,"Наибольшее перемещение стола продольное (по оси W), мм",1600
9,"Наибольшее вертикальное перемещение шпиндельной бабки (установочное) (по оси Y), мм",1600
10,"Наибольшее горизонтальное (осевое) перемещение шпинделя (по оси Z), мм",1000
11,"Угол поворота стола (по оси B), град",360
12,"Пределы рабочих подач по осям X,Y,Z,W, мм/мин",2..2000
13,"Наибольшее усиление подачи стола (вдоль и поперек), кгс",20
14,"Скорость быстрых перемещений по осям X, Y, W, м/мин",5
15,"Скорость быстрых перемещений шпинделя по оси Z, м/мин",4
16,Шпиндель,
17,"Частота вращения шпинделя, об/мин",63..1250
18,Количество скоростей шпинделя,
19,"Пределы рабочих подач шпинделя, мм/мин",2..2000
20,"Пределы рабочих подач радиального суппорта, мм/мин",
21,"Пределы рабочих подач шпиндельной бабки, мм/мин",2..2000
22,"Скорость быстрых перемещений шпиндельной бабки, м/мин",5
23,"Скорость быстрых перемещений шпинделя, м/мин",4
24,"Скорость вращения планшайбы, об/мин",4..250
25,Количество скоростей планшайбы,
26,"Наибольшее перемещение радиального суппорта планшайбы, мм",200
27,"Скорость быстрых перемещений радиального суппорта, м/мин",
28,"Наибольший крутящий момент на шпинделе, кН*м",35
29,"Наибольший крутящий момент на планшайбе, кН*м",72
30,"Наибольшее усиление подачи шпинделя, кН",20
31,"Наибольшее усиление подачи суппорта, кН",7
32,"Наибольшее усиление подачи бабки, кН",20
33,"Нарезаемая метрическая резьба, мм",
34,"Нарезаемая дюймовая резьба, число ниток на 1""",
35,"Наибольшее тангенциальное усилие резания, кН",16
36,"Наибольшее тангенциальное усилие резания при растачивании без радиальной подачи, кН",16
37,Привод,
38,Количество электродвигателей на станке,10
39,"Электродвигатель привода главного движения Мощность, кВт",22
40,"Электродвигатель привода продольной подачи стола и шпинделя, кВт",
41,"Электродвигатель привода поперечной подачи и поворота стола, кВт",
42,"Суммарная мощность электродвигателей, кВт",363
43,Габариты и масса станка,
44,"Габариты станка, включая ход стола и салазок, мм",5622 х 8160 х 5135
45,"Масса станка, кг",33945
