index,Наименование параметра,2622
0,Основные параметры станка,
1,"Диаметр выдвижного расточного шпинделя , мм",110
2,"Наибольший диаметр расточки шпинделем, мм",320
3,"Наибольший диаметр расточки суппортом планшайбы, мм",-
4,"Наибольшая длина расточки и обточки суппортом планшайбы, мм",-
5,"Диаметр торцевой обточки суппортом планшайбы, мм",-
6,"Наибольший диаметр сверла (по конусу), мм",80
7,Стол,
8,"Рабочая поверхность стола, мм",900 х 1120
9,"Наибольшая масса обрабатываемого изделия, кг",2000
10,"Наибольшее перемещение стола (продольное х поперечное), мм",1000 х 1150
11,"Пределы рабочих подач стола (вдоль и поперек), мм/мин",14...1110
12,"Наибольшее усиление подачи стола (вдоль и поперек), кгс",
13,"Деление шкалы лимба, мм",0025
14,"Деление шкалы лимба поворота стола, град",05
15,Выключающие упоры,есть
16,"Скорость быстрых перемещений, м/мин",22
17,"Скорость быстрых установочных круговых перемещений, об/мин",28
18,Шпиндель,
19,"Наибольшее горизонтальное (осевое) перемещение шпинделя, мм",710
20,"Частота вращения шпинделя, об/мин (ступеней)","12,5… 1600 (22)"
21,Количество скоростей шпинделя,22
22,"Пределы рабочих подач шпинделя, мм/мин","2,2… 1760"
23,"Скорость быстрых перемещений шпинделя, м/мин",348
24,"Наибольший крутящий момент на шпинделе, кгс*м",
25,"Наибольшее усиление подачи шпинделя, кгс",
26,Шпиндельная бабка,
27,"Пределы рабочих подач шпиндельной бабки, мм/мин","1,4… 1110"
28,"Наибольшее вертикальное перемещение шпиндельной бабки (установочное), мм",1000
29,"Скорость быстрых перемещений шпиндельной бабки, м/мин",22
30,"Наибольшее усиление подачи бабки, кгс",
31,"Нарезаемая метрическая резьба, мм",1… 10
32,"Нарезаемая дюймовая резьба, число ниток на 1""",4… 20
33,Планшайба и радиальный суппорт,
34,"Наибольшее перемещение радиального суппорта планшайбы, мм",-
35,"Скорость быстрых перемещений радиального суппорта, м/мин",-
36,"Пределы рабочих подач радиального суппорта, мм/мин",-
37,"Скорость вращения планшайбы, об/мин",-
38,Количество скоростей планшайбы,-
39,Возможность отключения вращения планшайбы,-
40,Возможность одновременной подачи суппорта и шпинделя,-
41,"Наибольший крутящий момент на планшайбе, кгс*м",-
42,"Наибольшее усиление подачи суппорта, кгс",-
43,Привод,
44,Количество электродвигателей на станке,
45,"Электродвигатель привода главного движения Мощность, кВт (об/мин)","7,5/ 10(1500/ 3000)"
46,"Электродвигатель привода подачи, кВт (об/мин)","1,52 (1600/ 3600)"
47,"Электродвигатель привода поворота стола, кВт (об/мин)","1,7 (1275)"
48,"Электродвигатель насоса смазки, кВт (об/мин)","0,27 (1400)"
49,"Электродвигатель агрегата, кВт (об/мин)","2,8 (1420)"
50,"Возбудитель, кВт (об/мин)","0,37 (1420)"
51,Габариты и масса станка,
52,"Габариты станка, включая ход стола и салазок, мм",5510 х 3200 х 3012
53,"Масса станка, кг",11800
