index,Наименование параметра,EMU-200
0,Основные технические данные станка,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр заготовки обрабатываемой над станиной, мм",200
3,"Наибольший диаметр заготовки обрабатываемой над суппортом, мм",80
4,"Наибольший диаметр заготовки устанавливаемой над станиной, мм",200
5,"Высота центров, мм",
6,"Наибольший диаметр заготовки обрабатываемой в люнете, мм",
7,"Наибольшая длина устанавливаемой детали РМЦ, мм",350
8,"Наибольшие размеры обрабатываемой детали, мм",Ø80 х 350
9,"Ширина станины, мм",170
10,Шпиндель,
11,"Частота прямого/ обратного вращения шпинделя, об/мин",90..3150
12,"Диаметр отверстия в шпинделе, мм",25
13,Конец шпинделя,MSZ 5038
14,Размер внутреннего конуса шпинделя,Морзе 4
15,Количество прямых/ обратных скоростей шпинделя,б/с
16,"Наибольший крутящий момент на шпинделе, кНм",
17,Торможение шпинделя,
18,Суппорт. Подачи,
19,"Наибольшее поперечное перемещение, мм",160
20,Количество подач,32
21,"Пределы продольных подач, мм/об",001..052
22,"Пределы поперечных подач, мм/об",0005..026
23,"Пределы/ количество шагов метрических резьб, мм","0,2..3,5 19 шт"
24,"Пределы/ количество шагов дюймовых резьб, ниток/дюйм",28..8 8 шт
25,"Пределы/ количество шагов модульных резьб, модуль","0,5..1,75 5 шт"
26,"Скорость быстрых перемещений продольных/ поперечных, м/мин",
27,"Наибольшее усилие резания при продольной/ поперечной подаче, кН",
28,"Цена деления лимба при продольном/ поперечном на диаметр перемещении, мм",
29,"Перемещение на оборот лимба при продольном/ поперечном перемещении, мм",
30,Резцовые салазки. Резцедержка,
31,"Наибольшее перемещение резцовых салазок, мм",
32,"Поперечное сечение резца, мм",12 х 12
33,"Цена деления лимба при перемещении резцовых салазок, мм",
34,"Расстояние от основания резца до линии центров, мм",10
35,Задняя бабка,
36,"Наибольшее перемещение пиноли, мм",
37,Электроборудование станка,
38,Сеть питания,"380 В, 50 Гц"
39,"Вспомогательное напряжение, В","24 В, 50 Гц"
40,Количество электродвигателей на станке,
41,"Электродвигатель главного движения, кВт/ об/мин",15
42,"Электродвигатель быстрых перемещений, кВт/ об/мин",
43,"Электродвигатель насоса СОЖ, кВт/ об/мин",
44,"Суммарная мощность электродвигателей, кВт",
45,Габариты и масса станка,
46,"Габариты станка (длина, ширина, высота), мм",1230 х 560 х 1300
47,"Масса станка, кг",640
