index,Наименование параметра,1Б240П-6
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,Н/П
2,Количество рабочих шпинделей,6
3,Количество продольных суппортов,1
4,Количество поперечных суппортов,5
5,"Наибольший диаметр патрона/ изделия, мм",130/ 120
6,"Наибольший диаметр изделия над продольным суппортом, мм",120
7,"Диаметр отверстия в шпинделях, мм",-
8,"Наибольшая длина обработки, мм",
9,"Наибольшая длина подачи прутка, мм",-
10,"Наибольший диаметр прутка, мм",-
11,"Наибольшая сторона квадратного прутка, мм",-
12,"Наибольшая сторона шестигранного прутка, мм",-
13,"Наибольшая длина прутка, мм",-
14,"Наибольший общий/ рабочий ход продольного суппорта, мм",180/ 160
15,"Наибольший общий/ рабочий ход поперечного суппорта, мм",84/ 33
16,"Наибольший общий/ рабочий ход отрезного суппорта, мм",35/ 23
17,"Наибольший диаметр нарезаемой резьбы, мм",30
18,"Наибольший ход инструментальных шпинделей, мм",
19,"Частота вращения шпинделей, об/мин",80..1120
20,"Величина подач продольного суппорта, мм/об",
21,"Величина подач поперечных суппортов, мм/об",
22,"Наибольший крутящий момент, кгс*м",
23,"Наибольшее тяговое усилие, кгс",
24,"Наибольшее усилие подачи, кгс",
25,Электрооборудование,
26,Количество электродвигателей на станке,
27,"Ээлектродвигатель главного привода (шпинделей), кВт",185
28,"Электродвигатель наладочного вращения, кВт",15
29,"Электродвигатель привода транспортера стружки, кВт",11
30,"Электродвигатель насоса смазки, кВт",22
31,"Электродвигатель насоса охлаждения, кВт",06
32,"Установленная мощность, кВт",249
33,Габариты и масса станка,
34,"Габариты станка без приставного оборудования (длина ширина высота), мм",4500 1700 2010
35,"Масса станка, кг",11500
