index,Наименование параметра,КОРВЕТ-44
0,Основные параметры станка,
1,"Диаметр сверла, мм",3..16
2,"Размер стола, мм",290 х 290
3,"Размер опорной базы (основания), мм",460 х 275
4,"Диаметр колонны, мм",80
5,"Наибольшее расстояние от торца шпинделя до стола, мм",
6,"Наибольшее расстояние от торца шпинделя до основания, мм",
7,"Расстояние от шпинделя до колонны (вылет), мм",
8,Тиски в комплекте,"2,5"""
9,Шпиндель,
10,"Скорости вращения шпинделя, об/мин (Число ступеней)",120..3000 (16)
11,"Ход шпинделя, мм",80
12,Посадка патрона,МТ 2
13,Конус шпинделя,2 Морзе
14,"Угол наклона шпинделя, град",-
15,"Горизонтальное перемещение шпинделя, мм",-
16,"Индикатор частоты вращения шпинделя, мм",-
17,Электрооборудование,
18,"Номинальное напряжение питания, В","220 ±22, 50 Гц"
19,"Номинальная потребляемая мощность, Вт",650
20,Тип двигателя,асинхронный
21,Габариты и масса станка,
22,"Габариты упаковки станка (длина ширина высота), мм",810 х 500 х 290
23,"Масса станка нетто/брутто, кг",67/70
