index,Наименование параметра,CU-630
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,
2,"Наибольший диаметр заготовки устанавливаемой над станиной, мм",630
3,"Высота оси центров над плоскими направляющими станины, мм",315
4,"Наибольший диаметр заготовки обрабатываемой над суппортом, мм",430
5,"Наибольшая длина заготовки, устанавливаемой в центрах (РМЦ), мм","1000, 1500, 2000, 3000, 4000, 5000"
6,"Ширина направляющих, мм",400
7,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",
8,"Наибольший диаметр сверла при сверлении стальных деталей, мм",
9,"Наибольшая масса заготовки, обрабатываемой в центрах, кг",
10,"Наибольшая масса заготовки, обрабатываемой в патроне, кг",
11,Шпиндель,
12,"Диаметр отверстия в шпинделе, мм",103
13,"Наибольший диаметр прутка, проходящий через отверстие в шпинделе, мм",100
14,"Частота вращения шпинделя в прямом направлении, об/мин",
15,"Частота вращения шпинделя в обратном направлении, об/мин","12,5..6,3; 50..250; 250..1250"
16,Количество прямых скоростей шпинделя,21
17,Количество обратных скоростей шпинделя,11
18,Конец шпинделя по ГОСТ 12593-72,
19,Конец шпинделя по ISO702-II/USAS B5.9D1 ISO702-III/DIN 55027,
20,Коническое отверстие шпинделя по ГОСТ 2847-67,
21,"Диаметр фланца шпинделя, мм",
22,"Диаметр патрона, мм",
23,"Наибольший крутящий момент на шпинделе, Нм",
24,Суппорт. Подачи,
25,"Наибольшая длина продольного перемещения, мм",
26,"Наибольшая длина поперечного перемещения, мм",295/ 315
27,"Скорость быстрых продольных перемещений, мм/мин",3800
28,"Скорость быстрых поперечных перемещений, мм/мин",1900
29,"Максимально допустимая скорость перемещений при работе по упорам, мм/мин",
30,"Минимально допустимая скорость перемещения каретки (суппорта), мм/мин",
31,"Цена деления лимба продольного перемещения, мм",
32,"Цена деления лимба поперечного перемещения, мм",
33,"Диапазон продольных подач, мм/об",
34,"Диапазон поперечных подач, мм/об",
35,Количество подач продольных,
36,Количество подач поперечных,
37,Количество нарезаемых резьб - метрических,
38,Количество нарезаемых резьб - модульных,
39,Количество нарезаемых резьб - дюймовых,
40,Количество нарезаемых резьб - питчевых,
41,"Пределы шагов метрических резьб, мм",
42,"Пределы шагов дюймовых резьб, ниток/дюйм",
43,"Пределы шагов модульных резьб, модуль",
44,"Пределы шагов питчевых резьб, питч диаметральный",
45,"Наибольшее усилие, допускаемое механизмом подач на резце - продольное, Н",
46,"Наибольшее усилие, допускаемое механизмом подач на резце - поперечное, Н",
47,Резцовые салазки,
48,"Наибольшее перемещение резцовых салазок, мм",135
49,"Перемещение резцовых салазок на одно деление лимба, мм",
50,"Наибольший угол поворота резцовых салазок, град",±90°
51,"Цена деления шкалы поворота резцовых салазок, град",1°
52,"Наибольшее сечение державки резца, мм",32 х 32
53,"Высота от опорной поверхности резца до оси центров (высота резца), мм",32
54,Число резцов в резцовой головке,
55,Задняя бабка,
56,"Диаметр пиноли задней бабки, мм",75
57,Конус отверстия в пиноли задней бабки по ГОСТ 2847-67,Морзе 5
58,"Наибольшее перемещение пиноли, мм",220
59,"Перемещение пиноли на одно деление лимба, мм",
60,"Величина поперечного смещения корпуса бабки, мм",±10
61,Электрооборудование,
62,"Электродвигатель главного привода, кВт (об/мин)","7,5; 11 (1450)"
63,"Электродвигатель привода быстрых перемещений, кВт (об/мин)","0,55 (2750)"
64,"Электродвигатель насоса СОЖ, кВт",009
65,Габариты и масса станка,
66,"Габариты станка (длина ширина высота) РМЦ=1000, мм",2600 х 1250 х 1400
67,"Масса станка (РМЦ=1000 мм), кг",3010
