index,Наименование параметра,СА500
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольший диаметр заготовки обрабатываемой над станиной, мм",500
3,"Наибольший диаметр заготовки обрабатываемой над суппортом, мм",290
4,"Высота центров над плоскими направляющими станины, мм",250
5,"Наибольшая длина устанавливаемой детали (РМЦ), мм","1000, 1500, 2000"
6,"Наибольшая масса изделия обрабатываемого в центрах, кг","900, 1300, 1800"
7,"Наибольшая масса изделия обрабатываемого в патроне, кг",300
8,Шпиндель,
9,Конец шпинделя по ГОСТ 12593 (DIN 55027),К6
10,Конус в шпинделе,Морзе 6
11,"Диаметр отверстия в шпинделе, мм",55
12,"Частота прямого вращения шпинделя, об/мин (ступеней)",16..2000 (22)
13,"Частота обратного вращения шпинделя, об/мин (ступеней)",16..1600 (11)
14,"Наибольший крутящий момент на шпинделе, кНм",1
15,Суппорт. Подачи. Резьбы,
16,"Наибольшее перемещение продольного суппорта (каретки), мм","935, 1515, 2015, 3015"
17,"Наибольшее перемещение поперечного суппорта, мм",275
18,"Цена деления лимба поперечного суппорта, мм",005
19,"Диапазон продольных подач, мм/об (ступеней)","0,05..2,8 (40)"
20,"Диапазон поперечных подач, мм/об (ступеней)","0,025..1,4 (40)"
21,"Скорость быстрых перемещений продольных/ поперечных, м/мин","3,8/ 1,9"
22,"Пределы шагов метрических резьб, мм",05..112
23,"Пределы шагов модульных резьб, модуль",05..112
24,"Пределы шагов дюймовых резьб, ниток/дюйм",56..05
25,"Пределы шагов питчевых резьб, питч диаметральный",56..05
26,Резцовые салазки,
27,"Наибольшее перемещение резцовых салазок, мм",150
28,"Угол поворота, град",±90°
29,"Цена деления лимба резцовых салазок, мм",005
30,"Наибольшая высота резца, мм",25
31,Задняя бабка,
32,"Наибольшее перемещение пиноли задней бабки, мм",150
33,Центр пиноли задней бабки по ГОСТ 13214,Морзе 5
34,"Цена деления либа перемещения пиноли задней бабки, мм",01
35,"Наибольшее поперечное перемещение задней бабки, мм",±15
36,Электрооборудование,3
37,"Электродвигатель главного привода, кВт (об/мин)",75
38,"Электродвигатель ускоренных перемещений, кВт (об/мин)",
39,"Электродвигатель СОЖ, кВт (об/мин)",
40,"Суммарная мощность установленных на станке электродвигателей, кВт",799
41,Габариты и масса станка,
42,"Габариты станка (длина ширина высота), мм","2800, 3380, 3880 х 1265 х 1385"
43,"Масса станка, кг","3000, 3500, 4000"
