index,Наименование параметра,6Г608
0,Основные параметры станка,
1,Число вертикальных шпинделей,1
2,Число горизонтальных шпинделей,2
3,"Расстояние от торца вертикального шпинделя до поверхности стола, мм",25..930
4,"Расстояние от оси горизонтального шпинделя до поверхности стола, мм",25..700
5,"Расстояние между между торцами горизонтальных шпинделей, мм",550..1050
6,Стол,
7,"Наибольшая масса обрабатываемой заготовки, кг",4500
8,"Размеры рабочей поверхности стола, мм",800 х 2500
9,"Наибольший ход стола, мм",2500
10,Число подач стола,Б/с
11,"Диапазон подач стола, мм/мин","10..1250, 20..2500"
12,"Ускоренное перемещение стола, мм/мин",4500
13,Бабка шпиндельная вертикальная и горизонтальные. Шпиндели,
14,"Частота вращения шпинделей, об/мин",16..1250
15,Количество скоростей шпинделя,20
16,Число подач шпинделльных бабок и гильзы шпинделя,Б/с
17,"Диапазон подач шпинделльных бабок и гильзы шпинделя, мм/мин",10..750
18,"Скорость быстрого (установочного) перемещения бабок, м/мин",1200
19,Перемещение шпиндельных бабок от руки,есть
20,"Перемещение шпинделя на обно деление лимба, мм",005
21,"Перемещение шпинделя на один оборот лимба, мм",06
22,Размер конуса шпинделя по ГОСТ 836-47,№ 3
23,"Ход гильзы шпинделя (ручное перемещение), мм",250
24,"Угол поворота горизонтальной шпиндельной бабки, град",-
25,"Угол поворота вертикальной шпиндельной бабки, град",-
26,Траверса,
27,"Скорость установочного перемещения поперечины (траверсы), мм/мин",720
28,Электрооборудование и привод станка,
29,Количество электродвигателей на станке,10
30,"Электродвигатель привода главного движения, кВт",13 х 3
31,"Электродвигатель привода подач стола, кВт","7,2 пост.ток"
32,"Электродвигатель привода подач вертикальной бабки, кВт",15
33,"Электродвигатель приводов подач горизонтальных бабок, кВт",21
34,"Электродвигатель перемещения поперечины (траверсы), кВт",75
35,"Электродвигатель насоса гидростанции, кВт",11
36,"Электродвигатель привода перемещения вертикальной фрезерной бабки, кВт",15
37,"Электродвигатель насоса охлаждения, кВт",018
38,"Электродвигатель механизма уборки стружки, кВт",04
39,"Суммарная мощность установленных на станке электродвигателей, кВт",
40,Габаритные размеры и масса станка,
41,"Габаритные размеры (длина х ширина х высота), мм",7435 х 4100 х 3800
42,"Масса станка, кг",28000
