index,Наименование параметра,7Д450
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Ход долбяка H1, мм",120..500
3,"Диаметр стола, мм",800
4,"Расстояние от плоскости стола до направляющих долбяка Н, мм",700
5,"Расстояние от долбяка до станины (вылет) l, мм",710
6,"Наибольшая высота обрабатываемого изделия при обработке наружной поверхности, мм",650
7,"Наибольшая высота обрабатываемого изделия при обработке внутренней поверхности, мм",325
8,Долбежная головка станка (долбяк),
9,"Наибольшее перемещение долбяка, мм",700
10,"Наибольший угол поворота долбяка в направлении продольной подачи, град",10
11,"Наибольшее сечение резца, мм",40 х 25
12,"Скорость долбяка под нагрузкой, м/мин",3..38
13,"Установочное регулирование хода долбяка, мм",
14,"Наибольшее усилие резания, кг",
15,Рабочий стол станка,
16,"Наибольшие перемещения стола продольные (по направляющим станины), мм",800
17,"Наибольшие перемещения стола поперечные (по направляющим салазок), мм",650
18,"Наибольшие перемещения стола круговые, град",360°
19,"Цена деления лимба при продольном и поперечном перемещении стола, мм",01
20,"Цена деления лимба при круговом перемещении стола, град",1
21,"Пределы подач за один двойной ход продольные, мм",01..25
22,"Пределы подач за один двойной ход поперечные, мм",01..25
23,"Пределы подач за один двойной ход круговые, град","0,1..1,4°"
24,"Скорость быстрого перемещения стола продольная, мм/мин",28
25,"Скорость быстрого перемещения стола поперечная, мм/мин",28
26,"Скорость быстрого перемещения стола круговая, об/мин",45
27,Электрооборудование. Привод,
28,Количество электродвигателей на станке,3
29,"Электродвигатель гидропривода (главного движения), кВт",10
30,"Электродвигатель ускоренного перемещения стола, кВт",30
31,"Электродвигатель электронасоса СОЖ, кВт",012
32,"Суммарная мощность электродвигателей, кВт",1312
33,Габариты и масса станка,
34,"Габариты станка (длина ширина высота), мм",3540 х 2890 х 3465
35,"Масса станка, кг",8200
