index,Наименование параметра,SN-402
0,Основные параметры,
1,"Наибольший диаметр заготовки над станиной, мм",430
2,"Наибольший диаметр заготовки над выемкой станины, мм",650
3,"Наибольший диаметр заготовки над суппортом, мм",240
4,"Наибольшая длина заготовки (РМЦ), мм","750, 1500"
5,Шпидель,
6,"Диаметр сквозного отверстия в шпинделе, мм",65
7,"Наибольший диаметр прутка, мм",62
8,Число ступеней частот прямого вращения шпинделя,18
9,Коэффициент геометрической прогресии чисел оборотов,125
10,"Частота прямого вращения шпинделя, об/мин","25..1250, 32..1600, 36..1800"
11,"Размер внутреннего конуса в шпинделе, М","Морзе 6, специальный конус Ø112"
12,Конец шпинделя с центрирующим конусом типа Камлок (Camlock),C8 CTAC
13,Тип муфт,электромагн/ механич
14,Тип тормоза,электромагн
15,Коробка подач,
16,Число ступеней продольных подач возможных/ по таблице,66/ 25
17,"Пределы возможных рабочих подач продольных, мм/об",005..85
18,"Пределы рабочих подач продольных по таблице, мм/об",005..2
19,Число ступеней поперечных подач,66/ 25
20,"Пределы возможных рабочих подач поперечных, мм/об",0015..28
21,"Пределы рабочих подач поперечных по таблице, мм/об",015..065
22,Количество нарезаемых резьб метрических,35
23,"Пределы шагов нарезаемых резьб метрических, мм",05..88
24,Количество нарезаемых резьб дюймовых (Withworth),37
25,Пределы шагов нарезаемых резьб дюймовых,88..1
26,Количество нарезаемых резьб модульных,35
27,Пределы шагов нарезаемых резьб модульных,025..44
28,Количество нарезаемых резьб питчевых,34
29,Пределы шагов нарезаемых резьб питчевых,176..2
30,Суппорт,
31,"Наибольшая длина хода каретки, мм","725, 925"
32,"Ход поперечного суппорта, мм",260
33,"Ход резцовых салазок, мм",130
34,"Наибольшее сечение резца, мм",25 х 25
35,"Цена деления нониуса поперечных салазок, мм",005
36,"Шаг винта поперечных салазок, мм",5
37,"Цена деления нониуса резцовых салазок, мм",005
38,"Шаг винта резцовых салазок, мм",4
39,"Скорость быстрых перемещений суппорта, продольных, м/мин",4
40,"Скорость быстрых перемещений суппорта, поперечных, м/мин",126
41,"Точность повторяемости на холостом ходу, мм","±0,03"
42,"Точность повторяемости при черновой обработке, мм","±0,2"
43,"Точность повторяемости при чистовой обработке, мм","±0,1"
44,Задняя бабка,
45,"Диаметр пиноли, мм",80
46,"Конус пиноли, мм",Морзе 5
47,"Ход пиноли, мм",200
48,"Поперечное смещение задней бабки, мм",±10
49,Электрооборудование,
50,Количество электродвигателей на станке,3
51,"Мощность электродвигателя главного привода, кВт",75
52,"Мощность электродвигателя быстрых перемещений, кВт",055
53,"Мощность электродвигателя насоса охлаждения, кВт",015
54,Габариты и масса станка,
55,"Габариты станка при РМЦ=1000 (длина ширина высота), мм",2610_1217_1438
56,"Масса станка, кг",2270
