index,Наименование параметра,1К62
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр заготовки, обрабатываемой над станиной, мм",400
3,"Наибольший диаметр заготовки, обрабатываемой над суппортом, мм",220
4,"Наибольшая длина заготовки, обрабатываемой в центрах (РМЦ), мм","710, 1000, 1400"
5,"Наибольшая длина обточки, мм","640, 930, 1330"
6,"Высота оси центров над плоскими направляющими станины, мм",215
7,"Наибольшее расстояние от оси центров до до кромки резцедержателя, мм",240
8,"Высота от опорной поверхности резца до оси центров (высота резца), мм",25
9,"Наибольшее сечение державки резца, мм",25 х 25
10,"Наибольшая масса заготовки, обрабатываемой в патроне, кг",500
11,"Наибольшая масса заготовки, обрабатываемой в центрах, кг",1500
12,Шпиндель,
13,"Диаметр сквозного отверстия в шпинделе, мм",38/ 47
14,"Наибольший диаметр прутка, проходящий через отверстие в шпинделе, мм",36/ 45
15,Число ступеней частот прямого вращения шпинделя,24
16,"Частота вращения шпинделя в прямом направлении, об/мин",125..2000
17,Число ступеней частот обратного вращения шпинделя,12
18,"Частота вращения шпинделя в обратном направлении, об/мин",19..2420
19,"Размер внутреннего конуса в шпинделе, М",Морзе 5/ 6
20,Конец шпинделя фланцевого,М90х6/ 6
21,Торможение шпинделя,есть
22,Материал шпинделя,
23,Суппорт. Подачи,
24,"Наибольшее перемещение продольной каретки суппорта от руки, мм","640, 930, 1330"
25,"Наибольшее перемещение продольной каретки суппорта по валику и по винту, мм","640, 930, 1330"
26,"Наибольшее перемещение поперечной каретки суппорта от руки, мм",250
27,"Наибольшее перемещение поперечной каретки суппорта по валику и по винту, мм",250
28,"Продольное перемещение на одно деление лимба, мм",1
29,"Поперечное перемещение на одно деление лимба, мм",005
30,"Поперечное перемещение на один оборот лимба (шаг винта поперечного суппорта), мм",
31,Число ступеней продольных подач,49
32,"Пределы рабочих подач продольных, мм/об",007..416
33,Число ступеней поперечных подач,49
34,"Пределы рабочих подач поперечных, мм/об",0035..208
35,"Скорость быстрых перемещений суппорта, продольных, м/мин",34
36,"Скорость быстрых перемещений суппорта, поперечных, м/мин",17
37,"Максимально допустимая скорость при работе по упорам, м/мин",
38,Количество нарезаемых резьб метрических,44
39,"Пределы шагов метрических резьб, мм",1..192
40,Количество нарезаемых резьб дюймовых,38
41,"Пределы шагов дюймовых резьб, ниток/дюйм",24..2
42,Количество нарезаемых резьб модульных,20
43,"Пределы шагов модульных резьб, модуль",05..48
44,Количество нарезаемых резьб питчевых,37
45,Пределы шагов нарезаемых резьб питчевых,96..1
46,Выключающие упоры продольные,есть
47,Выключающие упоры поперечные,нет
48,Предохранение от перегрузки,есть
49,Блокировка одновременного включения продольного и поперечного движения суппорта,есть
50,Резьбоуказатель,
51,"Наружный диаметр ходового винта, мм",
52,"Шаг ходового винта, мм",
53,"Диаметр ходового вала, мм",
54,Резцовые салазки,
55,"Наибольшее перемещение резцовых салазок, мм",140
56,"Перемещение резцовых салазок на одно деление лимба, мм",005
57,"Перемещение резцовых салазок на один оборот лимба (шаг винта резцовых салазок), мм",
58,"Наибольший угол поворота резцовых салазок, град",±90°
59,"Цена деления шкалы поворота резцовых салазок, град",1°
60,Число резцов в резцовой головке,4
61,Задняя бабка,
62,"Диаметр пиноли задней бабки, мм",
63,Конус отверстия в пиноли задней бабки по ГОСТ 2847-67,Морзе 5
64,"Наибольшее перемещение пиноли, мм",150
65,"Перемещение пиноли на одно деление лимба, мм",005
66,"Величина поперечного смещения корпуса бабки, мм",±15
67,Электрооборудование,
68,Количество электродвигателей на станке,4
69,"Электродвигатель главного привода, кВт",10
70,"Электродвигатель быстрых перемещений, кВт",08
71,"Электродвигатель гидростанции, кВт",11
72,"Электродвигатель насоса охлаждения, кВт",0125
73,Насос охлаждения (помпа),ПА-22
74,Габариты и масса станка,
75,"Габариты станка (длина ширина высота) (РМЦ = 1000), мм",2812 х 1166 х 1324
76,"Масса станка (РМЦ = 1000), кг",2140
