index,Наименование параметра,6Р11
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-71 и ГОСТ 8-82,Н
2,"Размеры рабочей поверхности стола (длина х ширина), мм",1000 х 250
3,Наименьшее и наибольшее расстояние от торца шпинделя до стола,
4,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",
5,"Расстояние от задней кромки стола до вертикальных направляющих станины, мм",
6,Шпиндель,
7,"Частота вращения шпинделя, об/мин",
8,Количество скоростей шпинделя,
9,Эскиз конца шпинделя,
10,Конус шпинделя,
11,Диаметр отверстия фрез шпинделя,
12,Наибольший допустимый крутящий момент на шпинделе Нм,
13,Рабочий стол,
14,Число Т-образных пазов Размеры Т-образных пазов,
15,"Наибольшее перемещение стола продольное от руки/ от двигателя (ось X), мм",
16,"Наибольшее перемещение стола поперечное от руки/ от двигателя (ось Y), мм",
17,"Наибольшее перемещение стола вертикальное от руки/ от двигателя (ось Z), мм",
18,"Наибольший угол поворота стола, град",
19,"Цена одного деления шкалы поворота стола, град",
20,"Перемещение стола на одно деление лимба (продольное, поперечное), мм",
21,"Перемещение стола на одно деление лимба (вертикальное), мм",
22,"Перемещение стола на один оборот лимба продольное и поперечное, мм",
23,"Перемещение стола на один оборот лимба вертикальное, мм",
24,"Наибольшее усилие, допускаемое механизмом подач в продольном/ поперечном/ вертикальном направлении, кг",
25,Механика станка,
26,"Быстрый ход стола продольный (ось X), м/мин",
27,"Быстрый ход стола поперечный (ось Y), м/мин",
28,"Быстрый ход стола вертикальный (ось Z), м/мин",
29,Число ступеней рабочих подач стола,
30,"Пределы рабочих подач. Продольных (ось X), мм/мин",
31,"Пределы рабочих подач. Поперечных (ось Y), мм/мин",
32,"Пределы рабочих подач. Вертикальных (ось Z), мм/мин",
33,"Выключающие упоры подачи (продольной, поперечной, вертикальной)",
34,Автоматическая прерывная подача в продольном/ поперечном/ вертикальном направлении,
35,Блокировка ручной и механической подачи (продольной),
36,"Блокировка ручной и механической подачи (поперечной, вертикальной)",
37,Торможение шпинделя (муфта),
38,Предохранение от перегрузки (муфта),
39,Привод,
40,"Электродвигатель привода главного движения, кВт (об/мин)",
41,"Электродвигатель привода подач, кВт",
42,Электронасос охлаждающей жидкости Тип,
43,"Электродвигатель насоса охлаждающей жидкости, кВт",
44,"Производительность насоса СОЖ, л/мин",
45,Габарит и масса станка,
46,"Габариты станка (длина ширина высота), мм",
47,"Масса станка, кг",
