index,Наименование параметра,SCHAUBLIN 150
0,Основные параметры станка,
1,Класс точности,
2,"Наибольший диаметр заготовки устанавливаемой над станиной, мм",
3,"Наибольший диаметр заготовки обрабатываемой над станиной, мм",
4,"Наибольший диаметр заготовки устанавливаемой над суппортом, мм",177
5,"Наибольшая длина заготовки в центрах (РМЦ), мм",630
6,"Высота центров над плоскими направляющими станины, мм",150
7,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",
8,"Диаметр заготовки, устанавливаемой в патроне, мм",
9,"Диаметр заготовки, устанавливаемой в цанге, мм",24
10,"Диаметр заготовки, устанавливаемой в люнете, мм",100
11,"Показатели точности обработки образцов: круглость, мкм",
12,"Показатели шероховатости обработки образцов цветных металлов, мкм",
13,"Показатели шероховатости обработки образцов стали, мкм",
14,Коэффициент повышения производительности по сравнению со станком модели 16Б05А,
15,Шпиндель,
16,"Диаметр отверстия в шпинделе, мм",40
17,Центр шпинделя по ГОСТ 13214-67,Морзе 5
18,Конец шпинделя по ГОСТ 12593-72,"Камлок Д 1-4"""
19,Число ступеней частот прямого вращения шпинделя,
20,"Частота прямого вращения шпинделя, об/мин",220..3000/ 55..3000/ 55..750
21,Торможение шпинделя,есть
22,Суппорт. Подачи,
23,"Наибольшее продольное перемещение суппорта, мм (механическое перемещение по упорам)",620 (620)
24,"Наибольшее поперечное перемещение суппорта, мм",180
25,"Перемещение суппорта поперечное на одно деление лимба, мм",
26,"Шаг ходового винта, мм",
27,"Шаг ходового винта поперечного хода, мм",3
28,Количество подач суппорта продольных,24
29,Количество подач суппорта поперечных,24
30,"Пределы подач суппорта продольных (в скобках - при использовании звена увеличения шага), мм/об",0025..035
31,"Пределы подач суппорта поперечных (в скобках - при использовании звена увеличения шага), мм/об",0025..035
32,"Пределы подач суппорта продольных и поперечных, мм/мин",
33,"Шаги нарезаемых метрических резьб, мм (шагов резьбы)","0,25..14 (48)"
34,"Шаги нарезаемых модульных резьб, мод (шагов резьбы)","0,125..7,5 (48)"
35,"Шаги нарезаемых дюймовых резьб, ниток на дюйм (шагов резьбы)","1,5..112 (48)"
36,"Скорость быстрых перемещений, мм/мин",4000
37,Механизм подач для нарезания резьбы,
38,"Вариант B. Нарезание резьбы сменными колесами. Метрические шаги, мм",
39,"Вариант B. Нарезание резьбы сменными колесами. Дюймовые шаги, витков на дюйм",
40,"Вариант C. Механизм подач для нарезания резьбы универсальный. Метрические шаги, мм (число шагов)",
41,"Вариант C. Механизм подач для нарезания резьбы универсальный. Дюймовые шаги, витков на дюйм (число шагов)",
42,"Вариант C. Механизм подач для нарезания резьбы универсальный. Специальная резьба сменными колесами, мм",
43,Резцовые салазки,
44,"Наибольшая длина перемещения резцовых салазок, мм",100
45,"Перемещение резцовых салазок на одно деление лимба, мм",001
46,"Перемещение резцовых салазок за один оборот лимба (шаг винта салазок), мм",2
47,"Наибольший угол поворота резцовых салазок, град",
48,"Цена деления шкалы поворота резцовых салазок, град",
49,"Наибольшее сечение державки резца, мм",20 х 20
50,"Высота от опорной поверхности резца до оси центров (высота резца), мм",
51,Число резцов в резцовой головке,
52,Задняя бабка,
53,"Диаметр пиноли, мм",
54,Конус отверстия пиноли задней бабки по ГОСТ 2847-67,Морзе 3
55,"Наибольшее перемещение пиноли, мм",120
56,"Перемещение пиноли на одно деление лимба, мм",
57,"Перемещение пиноли на одно деление линейки, мм",
58,"Величина поперечного смещения корпуса бабки, мм",±10
59,Электрооборудование,
60,"Количество электродвигателей, установленных на станке",
61,"Электродвигатель главного привода, кВт (об/мин)","1,9/ 3,8 (750/ 3000)"
62,"Электродвигатель коробки подач, кВт (об/мин)","0,35 (1500)"
63,"Электродвигатель насоса гидростанции, кВт","0,15 (3000)"
64,"Электродвигатель насоса охлаждающей жидкости, кВт",
65,"Суммарная мощность электродвигателей, установленных на станке, кВт",445
66,Габариты и масса станка,
67,"Габариты станка (длина ширина высота), мм",
68,"Масса станка (A, B, C), кг",1250
