index,Наименование параметра,3451Б
0,Основные параметры станка,
1,"Высота центров над столом, мм",180
2,"Расстояние от оси шпинделя до линии центров, мм",32..182
3,"Длина устанавливаемых шлифуемых изделий, мм",200..1000
4,"Диаметр шлифуемых изделий, мм",25..125
5,"Наибольшая длина шлифуемых шлицев, мм",850
6,Количество шлифуемых шлиц,3..48
7,"Вес обрабатываемого изделия (шлифовать с люнетом, если вес изделия превышает 40 кг), кг",80
8,Стол,
9,"Размеры рабочей поверхности стола, мм",1845 х 250
10,"Продольное перемещение от гидропривода, мм",200..1120
11,"Скорость продольного перемещения стола от гидравлики (регулирование бесступенчатое), м/мин",1..15
12,Шлифовальная головка,
13,"Скорость шлифовального круга (регулируется сменой шкивов), об/мин","2880, 4550, 6300"
14,"Наибольшее вертикальное перемещение шлифовальная головки, мм",150
15,"Наибольшее поперечное (установочное) перемещение шлифовальная головки, мм",150
16,"Вертикальное перемещение шлифовальной головки за один оборот лимба, мм",05
17,"Вертикальное перемещение шлифовальной головки на одно деление лимба, мм",0005
18,"Вертикальное перемещение шлифовальной головки на одну толчковую подачу, мм",0005
19,"Автоматическая вертикальная подача шлифовальной головки, мм",0005..007
20,"Быстрое перемещение шлифовальной головки, мм/мин",462
21,"Диаметр шлифовального круга наружный, мм",90..200
22,"Ширина шлифовального круга наибольшая, мм",32
23,"Диаметр посадочного отверстия шлифовального круга, мм",32..50
24,Делительный механизм,
25,Конусное отверстие в шпинделе изделия,Морзе 6
26,Центр шпинделя изделия,Морзе 4
27,Задняя бабка,
28,Конусное отверстие в салазках,Морзе 4
29,"Продольное перемещение салазок, мм",30
30,Прибор правки круга,
31,Конусное отверстие в шпинделе радиальной правки,Морзе 2
32,"Наибольшее вертикальное перемещение, мм",100
33,"Перемещение боковых алмазов, мм",20
34,"Угол поворота радиусного алмаза, град",±60°
35,"Глубина правки без компенсации износа круга, мм",001..005
36,"Глубина правки с автоматической компенсацией износа круга, мм",001..002
37,"Скорость перемещения алмазов при правке, м/мин",005..05
38,Привод и электрооборудование станка,
39,"Электродвигатель главного привода - шлифовального шпинделя, кВт (об/мин)",3 (3000)
40,"Электродвигатель насоса гидравлики, кВт (об/мин)",3 (1000)
41,"Электродвигатель привода механизма деления, кВт (об/мин)","0,27 (1500)"
42,"Электродвигатель механизма ускоренного вертикального перемещения каретки шлифовальной головки, кВт (об/мин)","0,6 (1350)"
43,"Электродвигатель системы охлаждения, кВт (об/мин)","0,12 (2800)"
44,Габаритные размеры и масса станка,
45,"Габаритные размеры станка (длина х ширина х высота), мм",3450 х 1513 х 1900
46,"Масса станка с электрооборудованием и охлаждением, кг",4900
