index,Наименование параметра,7Б55
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Номинальное тяговое усилие, кН(тс)",100(10)
3,"Наибольшая длина хода рабочих салазок (каретки), мм",1250
4,"Наибольшая настроенная длина хода рабочих салазок (каретки), мм",1200
5,"Расстояние от станины до оси отверстия под планшайбу в опорной плите, мм",250
6,"Максимальный наружный диаметр обрабатываемой детали, мм",600
7,"Размеры рабочей поверхности передней опорной плиты станка, мм",450 х 450
8,"Диаметр отверстия под планшайбу в опорной плите, мм",160
9,"Диаметр отверстия в планшайбе, мм",125
10,"Диаметр планшайбы, мм",280
11,"Скорость рабочего хода, м/мин",15..115
12,Регулирование скорости рабочего хода,бесступенчатое
13,"Рекомендуемая скорость обратного хода, м/мин",20..25
14,"Рекомендуемая скорость подвода и отвода протяжки, м/мин",15
15,Электрооборудование. Привод,
16,Количество электродвигателей на станке,
17,"Электродвигатель привода главного движения, кВт",185
18,"Электродвигатель привода гидронасоса гидростанции, кВт",
19,"Электродвигатель насоса охлаждения, кВт",
20,"Суммарная мощность электродвигателей установленных на станке, кВт",
21,Габариты и масса станка,
22,"Габариты станка (длина ширина высота), мм",6340 x 2090 x 1910
23,"Масса станка, кг",5200
