index,Наименование параметра,2С125
0,Основные параметры станка,
1,"Условный диаметр сверления в стали 45 по ГОСТ 1050-88, мм",25
2,"Наибольший диаметр сверления в стали 45 по ГОСТ 1050-88, мм",31
3,"Диаметр нарезаемой резьбы в стали 45 по ГОСТ 1050-88, мм",М5...М22
4,"Расстояние от торца шпинделя до рабочей поверхности стола/ основания, мм",730/ 1210
5,"Расстояние от оси шпинделя до образующей колонны (вылет), мм",320
6,"Наибольшая высота заготовки на столе, мм",500
7,"Наибольшая высота заготовки на плите, мм",900
8,Рабочий стол,
9,"Размеры рабочей поверхности плиты (основания), мм",320 х 320
10,"Размеры рабочей поверхности подъемного стола (длина х ширина), мм",420 х 300
11,"Наибольший ход подъемного стола (ось Z), мм",680
12,"Наибольшая масса заготовки на подъемном столе, кг",100
13,Количество Т-образных пазов на столе,
14,Шпиндель,
15,"Наибольшее перемещение (установочное) шпиндельной головки, мм",
16,"Наибольшее перемещение (ход) пиноли шпинделя, мм",150
17,"Частота вращения шпинделя, об/мин",90..1400
18,Количество скоростей шпинделя,9
19,"Наибольший допустимый крутящий момент, Нм",
20,"Осевое усилие на шпинделе (не более), Н",
21,Размер внутреннего конуса шпинделя по ГОСТ 25557-82,Морзе 3
22,Механика станка,
23,Число ступеней рабочих подач,-
24,"Пределы вертикальных рабочих подач на один оборот шпинделя, мм",вручную
25,"Наибольшая допустимая сила подачи (осевое усилие на шпинделе)), Н",
26,Привод,
27,"Электродвигатель привода главного движения, кВт (об/мин)",15
28,Габариты и масса станка,
29,"Габариты станка (длина ширина высота), мм",800 500 2050
30,"Масса станка, кг",430
