index,Наименование параметра,1К660Ф3
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр обрабатываемой заготовки над станиной, мм",1300
3,"Наибольший диаметр обрабатываемой заготовки над суппортом, мм",1050
4,"Наибольшая длина заготовки (РМЦ), мм",8000
5,"Наибольшие размеры державки резца (ширина х высота), мм",
6,"Наибольшая масса заготовки в центрах, т",25
7,Шпиндель,
8,Число ступеней частот прямого вращения шпинделя,
9,"Частота прямого вращения шпинделя, об/мин",
10,"Наибольший крутящий момент, кгс",
11,Суппорт. Подачи,
12,"Наибольшее продольное перемещение суппорта, мм",
13,"Наибольшее поперечное перемещение суппорта, мм",
14,"Цена деления лимба при продольном перемещении, мм",
15,"Цена деления лимба при поперечном перемещении, мм",
16,Число ступеней продольных подач,
17,"Пределы продольных подач, мм/об",
18,"Пределы поперечных подач, мм/об",
19,"Скорость быстрых перемещений суппорта, продольных, м/мин",
20,"Скорость быстрых перемещений суппорта, поперечных, м/мин",
21,"Пределы шагов нарезаемых резьб метрических, мм",
22,"Пределы шагов нарезаемых резьб дюймовых, мм",
23,"Пределы шагов нарезаемых резьб модульных, модуль",
24,Резцовые салазки (верхний суппорт),
25,"Наибольшее перемещение резцовых салазок, мм",
26,"Цена деления лимба перемещения резцовых салазок, мм",
27,Число ступеней подач,
28,"Пределы продольных подач, мм/об",
29,"Скорость быстрых перемещений, мм/мин",
30,"Наибольший угол поворота, град",±90°
31,"Цена одного деления угла поворота, град",
32,Задняя бабка,
33,Центр в шпинделе по ГОСТ 13214-79,
34,"Наибольшее перемещение пиноли, мм",
35,"Диаметр пиноли, мм",
36,Электрооборудование,
37,Количество электродвигателей на станке,
38,"Электродвигатель главного привода, кВт",
39,"Электродвигатель быстрого хода суппорта, кВт",
40,"Суммарная мощность всех электродвигателей, кВт",
41,Габариты и масса станка,
42,"Габариты станка (длина ширина высота), мм",
43,"Масса станка, т",
