index,Наименование параметра,С1Е61ПМ
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольший диаметр заготовки обрабатываемой над станиной, мм",320
3,"Наибольший диаметр заготовки обрабатываемой над суппортом, мм",170
4,"Наибольшая длина устанавливаемой детали РМЦ, мм",710
5,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",175
6,"Расстояние от оси шпинделя до направляющих станины (высота центров), мм",175
7,Шпиндель,
8,"Диаметр отверстия в шпинделе, мм",30
9,"Диаметр прутка проходящего через отверстие в шпинделе, мм",25
10,"Частота вращения шпинделя, об/мин",355..1800
11,Количество прямых/ обратных скоростей шпинделя,18
12,Центр в шпинделе по ГОСТ 13214-67,Морзе 5
13,Конец шпинделя по ГОСТ 12595-72,5К
14,Торможение шпинделя,есть
15,Блокировка шпинделя,есть
16,Защита от перегрузок шпинделя,есть
17,Подачи,
18,"Наибольшая длина хода суппорта (каретки) - продольное перемещение, мм",710
19,"Наибольшее поперечное перемещение суппорта, мм",230
20,"Продольное перемещение суппорта на одно деление лимба, мм",01
21,"Поперечное перемещение суппорта на одно деление лимба, мм",002
22,"Наибольшее перемещение верхнего суппорта (резцовых салазок), мм",140
23,"Перемещение верхнего суппорта на одно деление лимба, мм",002
24,Количество подач продольных/ поперечных суппорта,40
25,"Пределы подач продольных, мм",0018..11
26,"Пределы подач поперечных, мм",001..0625
27,"Количество нарезаемых резьб метрических, мм",35
28,"Количество нарезаемых резьб модульных, мм",31
29,"Количество нарезаемых резьб дюймовых, мм",26
30,"Пределы шагов метрических резьб, мм",01..56
31,"Пределы шагов модульных резьб, модуль",01..28
32,"Пределы шагов дюймовых резьб, ниток/дюйм",30..30
33,"Скорость быстрых перемещений продольных/ поперечных, м/мин",нет
34,"Высота резца, устанавливаемого в резцедержателе, мм",20
35,Задняя бабка,
36,"Наибольшее перемещение пиноли, мм",100
37,"Цена деления лимба задней бабки, мм",005
38,Центр в пиноли по ГОСТ 12595-72,Морзе 3
39,"Поперечное смещение задней бабки, мм",±5
40,"Диаметр сверла при сверлении стали, мм",
41,"Диаметр сверла при сверлении чугуна, мм",
42,Электрооборудование станка,
43,Количество электродвигателей на станке,3
44,"Мощность электродвигателя главного привода, кВт","2,7/ 4,4"
45,"Мощность электродвигателя насоса охлаждения, кВт",012
46,"Мощность электродвигателя насоса смазки, кВт",008
47,"Мощность электродвигателя вентилятора, кВт",нет
48,Габариты и масса станка,
49,"Габариты станка (длина ширина высота), мм",2290 х 1150 х 1365
50,"Масса станка, кг",1670
