index,Наименование параметра,2620
0,Основные параметры станка,
1,"Диаметр выдвижного расточного шпинделя, мм",90
2,"Высота оси шпинделя над столом, мм",
3,"Наибольший диаметр расточки шпинделем, мм",320
4,"Наибольшая длина расточки шпинделем, мм",
5,"Наибольший диаметр расточки суппортом планшайбы, мм",600
6,"Наибольшая длина расточки и обточки суппортом планшайбы, мм",550
7,"Наибольший диаметр сверла (по конусу), мм",65
8,Шпиндельная бабка. Шпиндель. ПланШайба,
9,"Наибольшее горизонтальное (осевое) перемещение шпинделя, мм",710
10,"Частота вращения выдвижного расточного шпинделя, об/мин",125...2000
11,Количество скоростей шпинделя,23
12,"Пределы рабочих подач шпинделя, мм/об",22...1760
13,"Пределы рабочих подач радиального суппорта, мм/об",088...700
14,"Пределы рабочих подач шпиндельной бабки, мм/об",14...1110
15,"Наибольшее вертикальное перемещение шпиндельной бабки (установочное), мм",1000
16,"Скорость быстрых перемещений шпиндельной бабки, м/мин",22
17,"Скорость быстрых перемещений шпинделя, м/мин",348
18,"Скорость вращения планшайбы, об/мин",8...200
19,Количество скоростей планшайбы,15
20,Возможность отключения вращения планшайбы,есть
21,Возможность одновременной подачи суппорта и шпинделя,есть
22,"Наибольшее перемещение радиального суппорта планшайбы, мм",170
23,"Скорость быстрых перемещений радиального суппорта, м/мин",139
24,Внутренний конус шпинделя,Морзе 5
25,"Наибольший крутящий момент на шпинделе, кгс*м",495
26,"Наибольший крутящий момент на планшайбе, кгс*м",780
27,"Наибольшее усиление подачи шпинделя, кгс",1500
28,"Наибольшее усилие подачи суппорта, кгс",700
29,"Наибольшее усиление подачи бабки, кгс",2000
30,"Нарезаемая метрическая резьба, мм",1...10
31,"Нарезаемая дюймовая резьба, число ниток на 1""",4...20
32,Стол,
33,"Рабочая поверхность стола, мм",900 х 1120
34,"Наибольшая масса обрабатываемого изделия, кг",2000
35,"Наибольшее перемещение стола (вдоль х поперек), мм",1150 х 1000
36,"Пределы рабочих подач стола (вдоль и поперек), мм/об",14...1110
37,"Наибольшее усиление подачи стола (вдоль и поперек), кгс",2000
38,"Деление шкалы лимба, мм",0025
39,"Деление шкалы лимба поворота стола, град",05
40,Выключающие упоры,есть
41,"Скорость быстрых перемещений, м/мин",22
42,"Скорость быстрых установочных круговых перемещений, об/мин",28
43,Привод,
44,Количество электродвигателей на станке,
45,"Электродвигатель привода главного движения Мощность, кВт (об/мин)",10 (3000)
46,"Электродвигатель привода подачи, кВт",152
47,"Привод поворота стола, кВт",17
48,Габариты и масса станка,
49,"Габариты станка, включая ход стола и салазок, мм",5510 х 3200 х 3012
50,"Масса станка, кг",12000
