index,Наименование параметра,16Б04П
0,Основные параметры станка,
1,Класс точности,П
2,"Наибольший диаметр заготовки над станиной, мм",200
3,"Наибольший диаметр заготовки над суппортом, мм",115
4,"Наибольшая длина заготовки в центрах (РМЦ), мм",350
5,"Высота центров над плоскими направляющими станины, мм",108
6,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",110
7,"Высота резца, установленного в резцедержателе, мм",12
8,"Наибольшая высота держателя резца, мм",17
9,Шпиндель,
10,"Диаметр отверстия в шпинделе, мм",24
11,"Наибольший диаметр прутка, проходящий через отверстие в шпинделе, мм",235
12,"Наибольший диаметр прутка, проходящий через отверстие в цанге, мм",
13,Центр шпинделя по ГОСТ 13214-67,Морзе 4
14,Конец шпинделя по ГОСТ 12593-72,4К
15,Число ступеней частот прямого вращения шпинделя,б/с регулирование
16,"Частота прямого вращения шпинделя, об/мин","35..3500, 30..3000"
17,Торможение шпинделя,есть
18,Блокировка рукояток,
19,Суппорт. Подачи,
20,"Наибольшее поперечное перемещение суппорта, мм",135
21,"Перемещение суппорта поперечное на одно деление лимба, мм",002
22,Количество подач суппорта продольных,28
23,Количество подач суппорта поперечных,28
24,"Пределы подач суппорта продольных, мм/об",002..035
25,"Пределы подач суппорта поперечных, мм/об",001..0175
26,"Шаги нарезаемых метрических резьб, мм",02..28
27,"Шаги нарезаемых модульных резьб, мод",01..14
28,"Шаги нарезаемых дюймовых резьб, ниток на дюйм",5..96
29,"Наибольшее перемещение верхних (резцовых) салазок, мм",80
30,"Перемещение резцовых салазок на одно деление лимба, мм",002
31,"Наибольший угол поворота резцовых салазок, град",±45°
32,Задняя бабка,
33,Конус Морзе задней бабки,Морзе 3
34,"Наибольшее перемещение пиноли, мм",70
35,"Перемещение пиноли на одно деление лимба, мм",002
36,Электрооборудование,
37,"Электродвигатель главного привода, кВт",11
38,"Электродвигатель насоса охлаждающей жидкости, кВт",012
39,Габариты и масса станка,
40,"Габариты станка (длина ширина высота), мм",1310 х 690 х 1360
41,"Масса станка, кг",660
