index,Наименование параметра,1557
0,Основные параметры станка,
1,"Наибольший диаметр устанавливаемого изделия, мм",120..3200
2,"Наибольшая высота обрабатываемого изделия, мм",1600
3,"Диаметр планшайбы, мм",2800
4,"Наибольшая масса устанавливаемого изделия, кг",16000
5,"Наибольшее расстояние от торца шпинделя до стола, мм",0..1850
6,"Наибольший угол конуса обработки без приспособления, град",
7,"Наибольший угол конуса обработки с приспособлением, град",
8,"Наибольшая длина обработки по конусу с наибольшим углом без приспособления, мм",
9,"Наибольшая длина обработки по конусу с наибольшим углом с приспособлением, мм",
10,"Нарезаемые метрические резьбы с резьбонарезным приспособлением, мм",
11,"Нарезаемые дюймовые резьбы с резьбонарезным приспособлением, число ниток на дюйм",
12,Вертикальные неревольверные суппорты,
13,Количество вертикальных суппортов,2
14,"Наибольшее горизонтальное перемещение суппорта, мм",1725
15,"Наибольшее вертикальное перемещение суппрта, мм",1000
16,"Цена деления лимба горизонтального и вертикального перемещения, мм",
17,"Горизонтальное и вертикальное перемещение за один оборот лимба, мм",
18,"Наибольший угол поворота ползуна суппорта, град",±45°
19,"Цена деления шкалы поворота ползуна суппорта, град",1°
20,"Наибольшие размеры сечения державки резца (ширина х высота), мм",40 х 60
21,"Скорость установочных перемещений, м/мин",
22,Поперечина,
23,"Наибольшее перемещение, мм",
24,"Скорость перемещения, мм/мин",
25,Выключающие упоры,
26,Блокировка перемещения в процессе резания,
27,Механика станка,
28,Число скоростей планшайбы,
29,"Число оборотов планшайбы в минуту при прямом и обратном вращении, об/мин",
30,Число подач суппортов,
31,"Вертикальные и горизонтальные подачи суппортов, мм/об",
32,"Наибольшее допускаемое усилие резания двумя суппортами, кгс",
33,"Наибольшее допускаемое усилие резания правым суппортом, кгс",
34,"Наибольшее допускаемое усилие резания левым суппортом, кгс",
35,Электрооборудование и привод станка,
36,Род тока питающей электросети,"~380 В, 50 Гц"
37,Количество электродвигателей установленных на станке,
38,"Электродвигатель привода главного движения 1м, кВт (об/мин)",
39,"Электродвигатель насоса гидросистемы 2м, кВт",
40,"Электродвигатель зажима поперечины 3м, кВт",
41,"Электродвигатель перемещения поперечины 4м, кВт",
42,"Электродвигатель установочных перемещений левого суппорта 5м, кВт",
43,"Электродвигатель установочных перемещений правого суппорта 6м, кВт",
44,Габарит и масса станка,
45,"Габарит станка (длнна х ширина х высота), мм",
46,"Масса станка, т",
