index,Наименование параметра,1К620
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр заготовки над станиной, мм",400
3,"Наибольший диаметр заготовки над суппортом, мм",220
4,"Наибольшая длина заготовки (РМЦ), мм","750, 1000, 1500"
5,"Наибольшая масса заготовки в патроне, кг",500
6,"Наибольшая масса заготовки в центрах, кг",1500
7,Шпиндель,
8,"Диаметр сквозного отверстия в шпинделе, мм",47
9,"Наибольший диаметр прутка, мм",45
10,Число ступеней частот прямого вращения шпинделя,24
11,"Частота прямого вращения шпинделя, об/мин",12..3000
12,Число ступеней частот обратного вращения шпинделя,Б/с
13,"Частота обратного вращения шпинделя, об/мин",
14,"Размер внутреннего конуса в шпинделе, М",Морзе 6
15,Конец шпинделя по ГОСТ 12593-72,6К
16,Коробка подач. Суппорт,
17,"Наибольшая длина хода каретки, мм","640, 930, 1330"
18,"Наибольший поперечный ход суппорта, мм",250
19,"Наибольший ход верхнего суппорта, мм",140
20,Число ступеней продольных подач,49
21,"Пределы рабочих подач продольных, мм/об",007..416
22,Число ступеней поперечных подач,49
23,"Пределы рабочих подач поперечных, мм/об",0035..208
24,"Скорость быстрых перемещений суппорта, продольных, м/мин",34
25,"Скорость быстрых перемещений суппорта, поперечных, м/мин",17
26,Количество нарезаемых резьб метрических,44
27,"Пределы шагов нарезаемых резьб метрических, мм",1..192
28,Количество нарезаемых резьб дюймовых,38
29,Пределы шагов нарезаемых резьб дюймовых,24..2
30,Количество нарезаемых резьб модульных,20
31,Пределы шагов нарезаемых резьб модульных,05..48
32,Количество нарезаемых резьб питчевых,37
33,Пределы шагов нарезаемых резьб питчевых,96..1
34,Электрооборудование,
35,Количество электродвигателей на станке,5
36,"Мощность электродвигателя главного привода, кВт",10
37,Тип электродвигателя главного привода,АО2-52-4Ф
38,"Мощность электродвигателя быстрых перемещений, кВт",08
39,Тип электродвигателя быстрых перемещений,АОЛ2-12-4Ф
40,"Мощность электродвигателя гидростанции, кВт",11
41,Тип электродвигателя гидростанции,АОЛ2-22-6Ф
42,"Мощность электродвигателя насоса охлаждения, кВт",0125
43,Насос охлаждения (помпа),ПА-22
44,Габариты и масса станка,
45,"Габариты станка (длина ширина высота) (РМЦ = 1000), мм",2812 × 1166 × 1324
46,"Масса станка (РМЦ = 1000), кг",2140
