index,Наименование параметра,1658
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,Н
2,"Высота центров, мм",500
3,"Наибольший диаметр обрабатываемой заготовки над станиной, мм",1000
4,"Наибольший диаметр обрабатываемой заготовки над суппортом, мм",600
5,"Наибольшая длина заготовки (РМЦ), мм",8000
6,"Высота устанавливаемого резца, мм",50 х 45
7,"Наибольшая масса заготовки в центрах, кг",10 000
8,Шпиндель,
9,"Диаметр сквозного отверстия в шпинделе, мм",85
10,"Наибольший диаметр зажимаемого прутка, мм",80
11,"Наибольший крутящий момент на шпинделе, кН/м",1160 кгс
12,Число ступеней частот прямого вращения шпинделя,24
13,"Частота прямого вращения шпинделя, об/мин",5..500
14,Размер внутреннего конуса в шпинделе,КМ 6
15,Конец шпинделя по ГОСТ 12595-72,Метрич. 100
16,"Диаметр стандартного патрона, мм",
17,Торможение шпинделя,есть
18,Подачи,
19,"Наибольшее продольное перемещение суппорта РМЦ=3000, мм",7200
20,"Наибольшее поперечное перемещение суппорта, мм",600
21,"Цена деления лимба при продольном перемещении, мм",01
22,"Цена деления лимба при поперечном перемещении, мм",005
23,"Наибольшее продольное перемещение на оборот лимба, мм",50
24,"Наибольшее поперечное перемещение на оборот лимба, мм",6
25,Число ступеней продольных подач,32
26,"Пределы продольных подач, мм/об",020..305
27,"Пределы поперечных подач, мм/об",007..104
28,"Наибольшее продольное усилие резания Pz, кН",
29,"Наибольшее поперечное усилие резания Pх, кН",
30,"Скорость быстрых перемещений суппорта, продольных, м/мин",216
31,"Скорость быстрых перемещений суппорта, поперечных, м/мин",0735
32,Количество нарезаемых резьб метрических,
33,"Пределы шагов нарезаемых резьб метрических, мм",1..120
34,Количество нарезаемых резьб дюймовых,36
35,Пределы шагов нарезаемых резьб дюймовых,28..¼
36,Количество нарезаемых резьб модульных,13
37,Пределы шагов нарезаемых резьб модульных,05...30
38,Количество нарезаемых резьб питчевых,нет
39,Выключающие упоры продольные,нет
40,Выключающие упоры поперечные,нет
41,Резцовые салазки (верхний суппорт),
42,"Наибольшее перемещение резцовых салазок, мм",240
43,"Цена деления лимба перемещения резцовых салазок, мм",005
44,Число ступеней подач,
45,"Пределы продольных подач, мм/об",
46,"Скорость быстрых перемещений, мм/мин",
47,"Наибольший угол поворота, град",±90°
48,"Цена одного деления угла поворота, град",1°
49,Задняя бабка,
50,Центр в шпинделе по ГОСТ 13214-79,Морзе 6
51,"Наибольшее перемещение пиноли, мм",200
52,"Наибольшее перемещение пиноли с установленным инструментом, мм",200
53,"Диаметр пиноли, мм",120
54,"Наибольшее перемещение пиноли в поперечном направлении, мм",±30
55,Электрооборудование,
56,Количество электродвигателей на станке,3
57,"Электродвигатель главного привода, кВт",22 (1450)
58,"Электродвигатель быстрого хода суппорта, кВт","1,5 (1420)"
59,Привод насоса смазки,
60,Насос охлаждения (помпа),
61,"Суммарная мощность всех электродвигателей, кВт",
62,Габариты и масса станка,
63,"Габариты станка (длина ширина высота) РМЦ=2800,3000, мм",11380 х 2100 х 1760
64,"Масса станка РМЦ=3000, кг",17730
