index,Наименование параметра,16К25
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр заготовки обрабатываемой над станиной, мм",500
3,"Наибольший диаметр заготовки обрабатываемой над суппортом, мм",290
4,"Наибольшая длина устанавливаемой детали РМЦ, мм","710, 1000, 1400, 2000"
5,"Наибольшая масса обрабатываемого изделия в центрах, кг",650..1800
6,"Наибольшая масса обрабатываемого изделия в патроне, кг",300
7,"Наибольшая длина обтачивания, мм","645, 935, 1335, 1935"
8,"Высота центров над плоскими направляющими станины, мм",250
9,Шпиндель,
10,"Диаметр отверстия в шпинделе, мм",52
11,"Наибольший диаметр прутка, проходящий через отверстие в шпинделе, мм",50
12,"Частота вращения шпинделя в прямом направлении, об/мин",125..1600
13,"Частота вращения шпинделя в обратном направлении, об/мин",19..1900
14,Количество прямых скоростей шпинделя,22
15,Количество обратных скоростей шпинделя,11
16,Конец шпинделя по ГОСТ 12593-72,6К
17,Коническое отверстие шпинделя по ГОСТ 2847-67,Морзе 6
18,"Диаметр фланца шпинделя, мм",170
19,"Наибольший крутящий момент на шпинделе, Нм",
20,Суппорт. Подачи,
21,"Наибольшая длина поперечного перемещения, мм",300
22,"Наибольшая длина продольного перемещения, мм","645, 935, 1335, 1935"
23,"Диапазон продольных подач, мм/об",005..28
24,"Диапазон поперечных подач, мм/об",0025..14
25,Количество подач продольных/ поперечных,22/ 24
26,"Скорость быстрых перемещений продольных/ поперечных, м/мин","3,8/1,9"
27,Количество нарезаемых резьб - метрических,
28,Количество нарезаемых резьб - модульных,
29,Количество нарезаемых резьб - дюймовых,
30,Количество нарезаемых резьб - питчевых,
31,"Пределы шагов метрических резьб, мм",05..112
32,"Пределы шагов дюймовых резьб, ниток/дюйм",56..05
33,"Пределы шагов модульных резьб, модуль",05..112
34,"Пределы шагов питчевых резьб, питч диаметральный",56..05
35,"Цена одного деления лимба продольного/ поперечного перемещения, мм/об","1/ 0,05"
36,"Наибольшее усилие, допускаемое механизмом подач продольное на резце/ на упоре, Н",5884/ 7845
37,"Наибольшее усилие, допускаемое механизмом подач поперечное на резце/ на упоре, Н",3530/ 4510
38,Резцовые салазки,
39,"Наибольшая длина перемещения, мм",150
40,"Цена одного деления лимба, мм/об",005
41,Задняя бабка,
42,"Наибольшее перемещение пиноли, мм",150
43,"Цена одного деления лимба перемещения пиноли, мм",01
44,Коническое отверстие шпинделя по ГОСТ 2847-67,Морзе 5
45,"Величина поперечного смещения корпуса, мм",±15
46,Привод и электрооборудование станка,
47,Количество электродвигателей на станке,4
48,"Электродвигатель главного привода М1, кВт",11
49,"Электродвигатель привода быстрого перемещения каретки и суппорта М2, кВт",075
50,"Электродвигатель насоса охлаждения М3, кВт",012
51,"Электродвигатель гидростанции М4, кВт",11
52,Габариты и масса станка,
53,"Габариты станка (длина ширина высота) РМЦ=1000, мм",2795 х 1240 х 1500
54,"Масса станка РМЦ=1000, кг",3095
