index,Наименование параметра,6Т83Г-1
0,Класс точности по ГОСТ 8-82,Н
1,Рабочий стол,
2,"Максимальная нагрузка на стол (по центру), кг",630
3,"Размеры рабочей поверхности стола (длина х ширина), мм",1600 х 400
4,Число Т-образных пазов Размеры Т-образных пазов,3
5,"Наибольшее перемещение стола продольное/ поперечное/ вертикальное механическое, мм",1000/ 400/ 420
6,"Расстояние от оси горизонтального шпинделя до стола при ручном перемещении, мм",30...450
7,"Расстояние от оси шпинделя до хобота, мм",190
8,"Наибольший угол поворота стола, град",нет
9,"Цена одного деления шкалы поворота стола, град",нет
10,"Перемещение стола на одно деление лимба (продольное, поперечное, вертикальное), мм",005
11,"Перемещение стола на один оборот лимба продольное/ поперечное/ вертикальное, мм",6/ 6/ 2
12,Шпиндель,
13,"Частота вращения шпинделя, об/мин",315...1600
14,Количество скоростей шпинделя,18
15,"Наибольший допустимый диаметр фрез при черновой обработке, мм",200
16,Механика станка,
17,"Быстрый ход стола продольный/ поперечный/ вертикальный, м/мин","4/ 4/ 1,33"
18,Число ступеней рабочих подач стола,22
19,"Пределы рабочих подач. Продольных и поперечных, мм/мин",125...1600
20,"Пределы рабочих подач. Вертикальных, мм/мин",41...530
21,"Наибольшее усилие резания при продольной/ поперечной/ вертикальной подаче, кН",20/ 12/ 8
22,Выключающие упоры подачи продольных,есть
23,"Выключающие упоры подачи поперечных, вертикальных",нет
24,"Блокировка ручной и механической подачи (продольной, поперечной, вертикальной)",есть
25,Блокировка раздельного включения подачи,есть
26,Автоматическая прерывистая подача Продольная,есть
27,Автоматическая прерывистая подача Поперечная и вертикальная,нет
28,Торможение шпинделя,есть
29,Предохранение от перегрузки (муфта),есть
30,Привод,
31,Количество электродвигателей на станке,4
32,"Электродвигатель привода главного движения, кВт (об/мин)",11 (1460)
33,"Электродвигатель привода подач стола, кВт (об/мин)",3 (1435)
34,"Электродвигатель зажима инструмента, кВт (об/мин)","0,18 (1370)"
35,"Электродвигатель насоса охлаждающей жидкости, кВт (об/мин)","0,12 (2800)"
36,Электронасос охлаждающей жидкости Тип,Х14-22М
37,"Производительность насоса СОЖ, л/мин",22
38,"Суммарная мощность всех электродвигателей, кВт",143
39,Габариты и масса станка,
40,"Габариты станка (длина ширина высота), мм",2579 х 2252 х 1770
41,"Масса станка, кг",
