index,Наименование параметра,16К30
0,Основные параметры станка,
1,Класс точности станка по ГОСТ 8—77,Н
2,"Наибольший диаметр обрабатываемого изделия над станиной, мм",630
3,"Наибольший диаметр обрабатываемого изделия над суппортом, мм",350
4,"Наибольшая масса обрабатываемого изделия, обрабатываемого в центрах, мм",2000
5,Шпиндель,
6,"Мощность двигателя главного движения, кВт","17, 13, 22"
7,"Диаметр отверстия в шпинделе, мм",71
8,"Наибольший диаметр прутка проходящего через отверстие в шпинделе, мм",70
9,Количество скоростей шпинделя,24
10,"Пределы оборотов шпинделя, об/мин",63...1600
11,Центр шпинделя по ГОСТ 13214-67,Метрический 100
12,Конец шпинделя по ГОСТ 12593-72,
13,"Наибольший крутящий момент на шпинделе, кгс*м",315
14,Суппорт,
15,"Наибольшее продольное перемещение суппорта, мм","1200, 1800, 2600"
16,"Наибольшее поперечное перемещение суппорта, мм",470
17,"Высота резца, устанавливаемого в резцедержателе, мм",32
18,"Количество инструментов, устанавливаемых в резцедержатель, мм",4
19,Количество подач суппорта,18
20,"Диапазон скоростей продольных подач, мм/об",0055..120
21,"Диапазон скоростей поперечных подач, мм/об",0023..050
22,"Размеры нарезаемых метрических резьб, мм",1...288
23,"Размеры нарезаемых дюймовых резьб, ниток/дюйм",025..56
24,"Размеры нарезаемых модульных резьб, модуль",025..88
25,"Размеры нарезаемых питчевых резьб, питч",1..224
26,"Скорость быстрых ходов при движении в продольном перемещении, мм/мин",41
27,"Скорость быстрых ходов при движении в поперечном перемещении, м/мин",17
28,"Цена деления лимба при движении в продольном перемещении, мм",10
29,"Цена деления лимба при движении в поперечном перемещении, мм",01
30,"Допустимые тяговые нагрузки на механизмы подач при продольной подаче, кгс",1700
31,"Допустимые тяговые нагрузки на механизмы подач при поперечной подаче, кгс",1200
32,Резцовые салазки,
33,"Наибольшее перемещение резцовых салазок, мм",200
34,"Наибольший угол поворота резцовых салазок, град",±90
35,"Цена деления лимба, мм",005
36,"Допустимые тяговые нагрузки на механизмы подач на резцовые салазки, кгс",840
37,Задняя бабка,
38,Центр шпинделя задней бабки по ГОСТ 13214-67,Морзе 6
39,"Наибольшее перемещение пиноли, мм",200
40,Электрооборудование и приводы станка,
41,Электросеть,"380 В, 50 Гц"
42,Количество электродвигателей на станке,3
43,"Электродвигатель главного привода, кВт","17, 13, 22"
44,"Электродвигатель быстрого хода, кВт",08
45,"Электродвигатель насоса охлаждения, кВт",012
46,"Суммарная мощность электродвигателей, кВт",
47,Габариты и масса станка,
48,"Габариты станка (длина х ширина х высота), мм",5545 х 2010 х 1545
49,"Масса станка с ЧПУ, кг",6875
