index,Наименование параметра,ТВ-125П
0,Основные параметры,
1,Класс точности,П
2,"Наибольший диаметр заготовки, обрабатываемой над станиной, мм",260
3,"Наибольший диаметр заготовки, обрабатываемой над суппортом, мм",135
4,"Наибольшая длина заготовки (РМЦ), мм",600
5,"Наибольшая длина обточки, мм",500
6,"Высота оси центров над плоскими направляющими станины (высота центров), мм",125
7,"Высота от опорной поверхности резца до линии центров, мм",16
8,"Наибольшее расстояние от линии центров до кромки резцедержателя, мм",145
9,Шпиндель,
10,Тип опорных подшипников,Качения
11,"Диаметр сквозного отверстия в шпинделе, мм",25
12,Число ступеней частот прямого вращения шпинделя (число рабочих скоростей),11
13,"Частота прямого вращения шпинделя, об/мин",42..2800 (б/с)
14,"Размер внутреннего конуса в шпинделе, М",Конус морзе 4
15,Конец шпинделя,М48 х 3
16,Торможение шпинделя,есть
17,Блокировка рукояток,есть
18,Суппорт. Подачи,
19,"Наибольшее перемещение продольной каретки суппорта от руки, мм",580
20,"Наибольшее перемещение поперечной каретки суппорта, мм, мм",170
21,"Перемещение продольной каретки суппорта на одно деление лимба, мм",005
22,"Перемещение продольной каретки суппорта на один оборот лимба, мм",20
23,"Перемещение поперечной каретки суппорта на одно деление лимба, мм, мм",0005
24,"Перемещение поперечной каретки суппорта на один оборот лимба, мм",3
25,Число ступеней продольных и поперечных подач,8
26,"Пределы продольных рабочих подач, мм/об",0012..0240
27,"Пределы поперечных рабочих подач, мм/об",0060..0120
28,Количество нарезаемых резьб метрических,90
29,"Пределы шагов нарезаемых резьб метрических, мм",02..122
30,Количество нарезаемых резьб дюймовых,25
31,Пределы шагов нарезаемых резьб дюймовых,2..24
32,Количество нарезаемых резьб модульных,17
33,Пределы шагов нарезаемых резьб модульных,025..3
34,"Скорость быстрых перемещений суппорта, м/мин",нет
35,Резьбоуказатель,нет
36,Блокировка рукояток,есть
37,Защита от перегрузки,есть
38,Выключающие упоры,есть
39,Резцовые салазки,
40,"Наибольшие размеры державки резца (ширина х высота), мм",16 х 16
41,"Наибольшее перемещение резцовых салазок, мм",80
42,"Перемещение резцовых салазок на одно деление лимба, мм",001
43,"Наибольший угол поворота резцовых салазок, град",360°
44,"Цена деления шкалы поворота резцовых салазок, град",1°
45,Число резцов в резцовой головке,4
46,Резьбоуказатель,нет
47,Задняя бабка,
48,"Диаметр пиноли задней бабки, мм",40
49,"Цена деления шкалы перемещения задней бабки, мм",1
50,"Цена деления нониуса перемещения задней бабки, мм",005
51,Конус отверстия в пиноли задней бабки,Морзе №3
52,"Наибольшее перемещение пиноли, мм",80
53,"Величина поперечного смещения корпуса бабки, мм",±12
54,Электрооборудование,
55,Количество электродвигателей на станке,2
56,"Мощность электродвигателя главного привода, кВт","1,7/ 2,1/ 2,8"
57,Тип электродвигателя главного привода,
58,"Мощность электродвигателя насоса охлаждения, кВт",0125
59,Габариты и масса станка,
60,"Габариты станка (длина ширина высота), мм",1780 х 720 х 1265
61,"Масса станка, кг",1100
