index,Наименование параметра,ЭМ-102
0,Основные параметры станка,
1,"Наибольший диаметр сверления, мм",12
2,"Наибольшее расстояние от торца шпинделя до стола, мм",380
3,"Наибольшее расстояние от торца шпинделя до основания, мм",538
4,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",
5,Рабочий стол,
6,"Ширина рабочей поверхности стола, мм",
7,Число Т-образных пазов Размеры Т-образных пазов,
8,"Угол поворота стола в горизонтальной плоскости, град",360°
9,"Угол поворота стола в вертикальной плоскости, град",±45°
10,Шпиндель,
11,"Наибольшее перемещение шпиндельной головки, мм",-
12,"Ход гильзы шпинделя, мм",80
13,"Частота вращения шпинделя, об/мин","600, 1000, 1600, 2550"
14,Количество скоростей шпинделя,4
15,Конус шпинделя,Морзе 2
16,Привод,
17,"Электродвигатель привода главного движения, кВт (об/мин)","0,27 (1410)"
18,Габарит и масса станка,
19,"Габариты станка (длина ширина высота), мм",668 х 353 х 940
20,"Масса станка, кг",75
