index,Наименование параметра,2А620Ф1-1
0,Основные параметры станка,
1,"Диаметр выдвижного расточного шпинделя, мм",90
2,"Наибольший рекомендуемый диаметр расточки шпинделем, мм",240
3,"Наибольший диаметр расточки суппортом планшайбы, мм",400
4,"Наибольшая длина расточки и обточки суппортом планшайбы, мм",
5,"Точность установки координат, мм","±0,025"
6,"Точность установки поворотного стола через 90°, сек",
7,"Наибольший диаметр сверла (по конусу), мм",
8,"Устройство индикации (УЦИ, УЧПУ)",Ф5147
9,Стол,
10,"Рабочая поверхность стола по ГОСТ 6569-70, мм",1120 х 1250
11,"Наибольшая масса обрабатываемого изделия, кг",4000
12,"Наибольшее перемещение стола (продольное по оси W, поперечное по оси Х), мм",1000 х 1250
13,"Пределы рабочих подач стола (по осям X, W), мм/мин",125...1250
14,"Наибольшее усилие подачи стола (по осям X, W), кгс",
15,"Деление шкалы лимба перемещения стола, мм",0025
16,"Деление шкалы лимба поворота стола, град","0,5°"
17,Выключающие упоры,есть
18,"Скорость быстрых продольных перемещений (по оси W), м/мин",60
19,"Скорость быстрых поперечных перемещений (по оси Х), м/мин",50
20,"Скорость быстрых установочных круговых перемещений (ось B), об/мин",
21,Шпиндель,
22,"Конец выдвижного шпинделя по ГОСТ 2701-72, мм",45
23,"Наибольшее горизонтальное (осевое) перемещение выдвижного шпинделя (по оси Z), мм",710
24,"Частота вращения выдвижного шпинделя, об/мин",10..1600
25,Количество скоростей выдвижного шпинделя,23
26,"Пределы рабочих подач выдвижного шпинделя, мм/мин",2..2000
27,"Пределы рабочих подач шпиндельной бабки (по оси Y), мм/мин",125..1250
28,"Наибольшее вертикальное перемещение шпиндельной бабки (установочное), мм",1000
29,"Скорость быстрых перемещений шпиндельной бабки, м/мин",60
30,"Скорость быстрых перемещений шпинделя, м/мин",40
31,"Наибольший крутящий момент на шпинделе, кгс*м",140
32,"Нарезаемая метрическая резьба, мм",1..10
33,"Нарезаемая дюймовая резьба, число ниток на 1""",4..20
34,Встроенная планшайба. Радиальный суппорт,
35,"Наибольшее перемещение радиального суппорта планшайбы (ось U), мм",160
36,"Пределы рабочих подач радиального суппорта встроенной планшайбы, мм/мин",08..800
37,"Скорость вращения планшайбы, об/мин",63..160
38,Количество скоростей планшайбы,13
39,Возможность отключения вращения планшайбы,есть
40,Возможность одновременной подачи суппорта и шпинделя,есть
41,"Скорость быстрых перемещений радиального суппорта, м/мин",139
42,"Наибольший крутящий момент на планшайбе, кгс*м",250
43,Привод,
44,Количество электродвигателей на станке,
45,"Электродвигатель привода главного движения Мощность, кВт (об/мин)",11 (1500)
46,"Электродвигатель привода продольной подачи шпинделя и стола продольно, кВт (об/мин)","3,8 (2200)"
47,"Электродвигатель привода подачи стола поперечно и поворота стола, кВт (об/мин)","3,8 (2200)"
48,"Электродвигатель привода гидронасоса, кВт (об/мин)","2,2 (1400)"
49,"Суммарная мощность электродвигателей, кВт",25
50,Габариты и масса станка,
51,"Габариты станка, включая ход стола и салазок, мм",6070 х 3970 х 3220
52,"Масса станка, кг",17000
