index,Наименование параметра,1Н325
0,Основные параметры станка,
1,Класс точности станка Н по ГОСТ 8—71,Н
2,"Наибольший диаметр обрабатываемого изделия над станиной, мм",320
3,"Наибольший диаметр круглого обрабатываемого прутка на переднем зажиме (в цанге), мм",25
4,"Наибольшая сторона квадрата обрабатываемого прутка, мм",17
5,"Наибольший размер шестигранного прутка (диаметр вписанной окружности), мм",22
6,"Наибольший диаметр обрабатываемого изделия в патроне, мм",
7,"Наибольшая длина обрабатываемого изделия в патроне, мм",
8,"Наибольшая рекомендуемая длина обрабатываемого изделия в патроне, мм",
9,"Наибольшая длина подачи прутка, мм",
10,"Наибольшая длина обработки прутка в цанге или в патроне, мм",140
11,"Наибольшая длина обрабатываемого прутка в зажимной и подающей трубе, мм",
12,"Рекомендуемая длина обрабатываемого прутка в зажимной и подающей трубе, мм",
13,"Диаметр отверстия в шпинделе, мм",
14,"Высота центров, мм",
15,"Расстояние от торца шпинделя до плоскости револьверной головки, мм",
16,"Наибольший диаметр резьб, нарезаемых плашками по стали средней твердости, мм",
17,"Наибольший диаметр резьб, нарезаемых метчиками по стали средней твердости, мм",
18,"Наибольшая длина нарезаемой резьбы по копиру, мм",
19,Шпиндель,
20,Количество рабочих скоростей шпинделя,
21,Количество автоматически переключающихся скоростей шпинделя прямых/ обратных,
22,"Пределы чисел оборотов шпинделя, об/мин",80..3150
23,"Пределы чисел оборотов шпинделя (обратное вращение), об/мин",
24,Конец шпинделя фланцевый по ГОСТ 12595-75,
25,"Наибольший крутящий момент на шпинделе не менее, Нм (кг*м)",
26,Подачи. Револьверный суппорт,
27,"Наибольшее перемещение револьверного суппорта: продольное (Z), мм/ Круговое, град",
28,"Продольное перемещение револьверного суппорта за один оборот штурвала, мм",
29,Число упоров,
30,Количество продольных подач револьверного суппорта,
31,Количество круговых подач револьверного суппорта,
32,"Диапазон скоростей продольных подач револьверного суппорта, мм/об",
33,"Диапазон скоростей круговых подач револьверного суппорта, мм/об",
34,"Быстрое перемещение револьверного суппорта, мм/мин",
35,Количество инструментов в револьверной головке,
36,"Диаметр отверстий в револьверной головке, мм",
37,"Диаметр расположения отверстий для инструмента в револьверной головке, мм",
38,"Перемещение продольное револьверной головки на одно деление лимба, мм",
39,"Цена деления лимба грубой круговой подачи револьверной головки на диаметр изделия, мм",
40,"Цена деления лимба тонкой круговой подачи револьверной головки на диаметр изделия, мм",
41,"Поперечное перемещение головки на радиусе расположения гнезд под инструмент за один оборот лимба при тонкой круговой подаче, мм",
42,"Наибольшее усилие подачи, допустимое механизмом продольной подачи, Н",
43,"Наибольшее усилие подачи, допустимое механизмом круговой подачи, Н",
44,Электрооборудование станка,
45,"Количество электродвигателей на станке, кВт",
46,"Электродвигатель главного привода, кВт (об/мин)",
47,"Электродвигатель гидропривода (зажим и подача прутка), кВт (об/мин)",
48,"Электродвигатель смазочной станции, кВт (об/мин)",
49,"Электродвигатель насоса охлаждения, кВт (об/мин)",
50,Габариты и масса станка,
51,"Габаритные размеры станка (длина, ширина, высота), мм",3915_925_1555
52,"Масса станка, кг",1300
