index,Наименование параметра,ВСА-180NC
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,В
2,"Наибольший диаметр обрабатываемой заготовки, мм",10
3,"Наибольший возможный диаметр обрабатываемой заготовки, мм",
4,"Наименьший диаметр рекомендуемый при обработке напроход, мм",
5,"Наименьший диаметр рекомендуемый при врезном шлифовании, мм",
6,"Наибольшая длина обрабатываемых изделий без специальных приспособлений (ограничивается жесткостью и устойчивостью изделий) при сквозном шлифовании, мм",68
7,"Наибольшая длина обрабатываемых изделий с применением специальных приспособлений при сквозном шлифовании, мм",
8,"Наибольшая длина обрабатываемых изделий с номинальной высотой кругов при врезном шлифовании, мм",38
9,"Наибольшая длина обрабатываемых изделий с наибольшей высотой кругов при врезном шлифовании, мм",
10,"Высота от основания станка до оси заготовки, мм",
11,"Высота от зеркала мостика до оси кругов (высота центров), мм",
12,Шлифовальный круг,
13,Тип шлифовального круга по ГОСТ 2424-83,
14,"Наружный диаметр наименьший (изношенный)/ наибольший, мм",150..200
15,"Высота (ширина) круга номинальная/ наибольшая, мм",40
16,"Диаметр отверстия, мм",76
17,Число оборотов в минуту,
18,"Окружная скорость (скорость шлифования), м/сек",35
19,Ведущий круг,
20,Тип шлифовального круга по ГОСТ 2424-83,
21,"Наружный диаметр наименьший/ наибольший, мм",150
22,"Наибольшая высота (ширина) наименьшая/ наибольшая, мм",40..63
23,"Диаметр отверстия, мм",51
24,"Скорость вращения при работе, об/мин",5..250
25,"Скорость вращения при правке, об/мин",380
26,Бабка шлифовального круга,
27,"Размер конца шпинделя шлифовального круга по ГОСТ 2323—67, мм",
28,"Наибольшее установочное перемещение при снятых кругах, мм",
29,"Наибольшее ускоренное перемещение при врезном шлифовании, мм",
30,"Рабочее перемещение на одно деление лимба механизма подачи, мм",
31,"Рабочее перемещение на один оборот лимба механизма подачи, мм",
32,"Рабочее перемещение толчковой подачи, мм",
33,"Наибольшее рабочее перемещение механизмом врезания, мм",
34,"Скорость подачи при врезном шлифовании, мм/мин",
35,Бабка ведущего круга,
36,"Перемещение наибольшее при снятых кругах, мм",
37,"Перемещение на одно деление лимба винта подачи, мм",
38,"Перемещение на один оборот лимба винта подачи, мм",
39,"Наибольший угол наклона в вертикальной плоскости, град",
40,"Наибольший угол наклона в горизонтальной плоскости, мин",
41,Число оборотов в минуту при работе (бесступенчатое регулирование),
42,Число оборотов в минуту при правке,
43,"Угол наклона бабки ведущего круга в вертикальной плоскости (макс.), град",±6°
44,Стол,
45,"Рабочее перемещение на одно деление лимба механизма подачи, мм",
46,"Рабочее перемещение на один оборот лимба механизма подачи, мм",
47,"Наибольшее перемещение врезания, мм",
48,"Наибольшее установочное перемещение, мм",
49,"Ускоренное перемещение перемещение от электродвигателя, мм/мин",
50,Механизм правки шлифовального круга,
51,"Наибольшее поперечное перемещение алмаза, мм",
52,"Поперечное перемещение алмаза на одно деление лимба, мм",
53,"Поперечное перемещение алмаза на один оборот лимба, мм",
54,"Наибольшее прдольное перемещение алмаза, мм",
55,"Скорость перемещения алмаза в продольном направлении наибольшая, мм/мин",
56,"Наибольший угол разворота копира, град",
57,Механизм правки ведущего круга,
58,"Наибольшее поперечное перемещение алмаза, мм",
59,"Поперечное перемещение алмаза на одно деление лимба, мм",
60,"Поперечное перемещение алмаза на один оборот лимба, мм",
61,"Наибольшее прдольное перемещение алмаза, мм",
62,"Скорость перемещения алмаза в продольном направлении наибольшая, мм/мин",
63,"Наибольший угол разворота копира, град",
64,"Привод, габарит и масса станка",
65,Род тока питающей сети,
66,"Напряжение электроприводов, в",
67,"Напряжение переменное цепей управления, в",
68,"Напряжение постоянное цепей управления, в",
69,"Напряжение цепей местного освещения, В",
70,"Напряжение сигнализации, В",
71,"Количество электродвигателей на станке (без учета двигателей, поставляемых по особому заказу)",
72,Электродвигатель привода шлифовального круга - тип,
73,"Электродвигатель привода шлифовального круга, кВт (об/мин)",22
74,Электродвигатель привода ведущего круга - тип,
75,"Электродвигатель привода ведущего круга, кВт (об/мин)",04
76,"Электродвигатель привода установочного перемещения стола, кВт (об/мин)",
77,"Электродвигатель привода насоса смазки подшипников шпинделя шлифовального круга, кВт (об/мин)",
78,"Электродвигатель привода центрифуги, кВт (об/мин)",
79,"Электродвигатель привода насоса гидроагрегата, кВт (об/мин)",
80,"Электродвигатель привода насоса охлаждения, кВт (об/мин)",
81,"Электродвигатель привода магнитного сепаратора, кВт (об/мин)",
82,"Электродвигатель привода загрузки при работе на проход, кВт (об/мин)",
83,"Суммарная мощность электродвигателей, кВт",402
84,Габаритные размеры и масса станка,
85,"Габарит станка (длина X ширина X высота), мм",
86,"Масса станка, кг (с приставным оборудованием)",(1237)
