index,Наименование параметра,ДИП-400(1А64)
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр заготовки над станиной, мм",800
3,"Наибольший диаметр заготовки над выемкой, мм",-
4,"Наибольший диаметр заготовки над суппортом, мм",450
5,"Высота центров над станиной, мм",400
6,"Наибольшая длина заготовки (РМЦ), мм",2800
7,"Наибольшая масса заготовки в центрах, кг",5000
8,"Наибольшие размеры резца, мм",
9,"Расстояние от оси шпинделя до основания резцов, мм",
10,Шпидель,
11,"Диаметр сквозного отверстия в шпинделе, мм",85
12,"Наибольший диаметр обрабатываемого прутка, мм",80
13,Торможение шпинделя,Имеется
14,"Наибольший момент на шпинделе, кН/м",
15,Число ступеней частот прямого вращения шпинделя,24
16,"Частота прямого вращения шпинделя, об/мин",71..750
17,"Размер внутреннего конуса в шпинделе, М",Конус морзе 6
18,Конец шпинделя,11ИМ ГОСТ 12595
19,Суппорт. Подачи,
20,"Наибольшее продольное перемещение суппорта, мм",2520
21,"Наибольшее поперечное перемещение суппорта, мм",600
22,"Цена деления лимба при продольном перемещении, мм",01
23,"Цена деления лимба при поперечном перемещении, мм",005
24,"Наибольшее продольное перемещение на оборот лимба, мм",50
25,"Наибольшее поперечное перемещение на оборот лимба, мм",6
26,Число ступеней продольных подач суппорта,32
27,"Пределы продольных рабочих подач суппорта, мм/об",020..305
28,Число ступеней поперечных подач суппорта,32
29,"Пределы поперечных рабочих подач суппорта, мм/об",007..104
30,"Скорость быстрых перемещений суппорта, продольных, м/мин",216
31,"Скорость быстрых перемещений суппорта, поперечных, м/мин",0735
32,Количество нарезаемых резьб метрических,
33,"Пределы шагов нарезаемых резьб метрических, мм",1..120
34,Количество нарезаемых резьб дюймовых,
35,Пределы шагов нарезаемых резьб дюймовых,28..025
36,Количество нарезаемых резьб модульных,
37,Пределы шагов нарезаемых резьб модульных,05..30
38,Количество нарезаемых резьб питчевых,
39,Пределы шагов нарезаемых резьб питчевых,нет
40,"Наибольшее продольное/ поперечное усилие резания, кН",120/ 78
41,Резцовые салазки,
42,"Наибольшее перемещение резцовых салазок, мм",240
43,"Пределы рабочих подач резцовых салазок, мм/об",
44,"Скорость быстрых перемещений резцовых салазок, м/мин",
45,Задняя бабка,
46,"Диаметр пиноли задней бабки, мм",
47,Конус под центр задней бабки,
48,"Перемещение задней бабки в поперечном направлении, мм",
49,Электрооборудование,
50,Количество электродвигателей на станке,4
51,"Мощность электродвигателя главного привода, кВт",17
52,"Мощность электродвигателя быстрого хода, кВт",15
53,"Мощность электродвигателя насоса смазки, кВт",012
54,"Мощность электродвигателя насоса охлаждения, кВт",0125
55,Насос охлаждения (помпа),ПА-22
56,"Габариты станка, мм",5825 х 2000 х 1660
57,"Масса станка, кг",11400
