index,Наименование параметра,53А80
0,Основные параметры станка,
1,Класс точности станка по ГОСТ 8-82 и ГОСТ 659-78,П
2,"Наибольший модуль нарезаемого колеса, мм",10
3,"Наибольший диаметр нарезаемых цилиндрических прямозубых колес (0°) с задней стойкой (с контрподдержкой), мм",800
4,"Наибольший диаметр нарезаемых цилиндрических косозубых колес (30°), мм",500
5,"Наибольший диаметр нарезаемых цилиндрических косозубых колес (45°), мм",350
6,"Наибольшая длина зуба нарезаемых цилиндрических прямозубых колес (0°), мм",350
7,"Наибольшая длина зуба нарезаемых цилиндрических прямозубых колес (30°), мм",230
8,"Наибольшая длина зуба нарезаемых цилиндрических косозубых колес (45°), мм",180
9,"Наибольшая длина зуба нарезаемых цилиндрических косозубых колес (60°), мм",130
10,"Наибольший угол наклона нарезаемых зубьев, град",60°
11,Наименьшее число нарезаемых зубьев,12
12,Стол,
13,"Диаметр стола, мм",630
14,"Расстояние между осями стола и фрезы, мм",80..500
15,"Расстояние от плоскости стола и оси фрезы, мм",195..595
16,"Ускоренное перемещение стола, мм/мин",200
17,"Ручное перемещение стола за один оборот лимба, мм",05
18,"Наибольшая длина горизонтального перемещения стола (шпинделя изделия), мм",
19,Суппорт фрезерный,
20,"Наибольшее вертикальное перемещение фрезерного суппорта, мм",400
21,"Ускоренное перемещение каретки суппорта, мм/мин",660
22,"Наибольший диаметр режущего инструмента (червячной фрезы), мм",200
23,"Наибольшая длина режущего инструмента (червячной фрезы), мм",200
24,"Диаметры фрезерных оправок, мм","32, 40"
25,"Ускоренное перемещение шпинделя вдоль оси, мм/мин",43
26,"Расстояние от оси шпинделя до торца стола, мм",
27,"Поворот суппорта на одно деление шкалы линейки, град",1°
28,"Поворот суппорта на одно деление шкалы нониуса, мин",5`
29,Конусное отверстие шпинделя (по ГОСТ 25557-82),Морзе 5
30,"Наибольшее осевое перемещение фрезы (каретки тангенциального суппорта вдоль оси фрезы), мм",200
31,"Наибольшая величина вертикального перемещения суппорта при угле наклона 0°, мм",410
32,"Наибольший угол поворота суппорта (наклона зубьев, обрабатываемых колес), град",±60
33,"Скорость перемещения ползушки (салазок суппорта), мм/мин",230
34,Автоматический возврат инструмента,есть
35,Предохранитель от перегрузки,есть
36,Механика станка,
37,"Пределы оборотов фрезы, об/мин",40..405
38,Число ступеней оборотов фрезы,11
39,"Пределы продольных (вертикальных) подач, мм/об",075..75
40,"Пределы радиальных подач, мм/об",02..225
41,"Пределы тангенциальных (осевых) подач, мм/об",013..26
42,Число ступеней подач,16
43,Привод и электрооборудование станка,
44,"Количество электродвигателей, установленных на станке",6
45,"Электродвигатель главного привода, кВт","8/ 10/ 12,5"
46,"Электродвигатель быстрых перемещений, кВт",3
47,"Электродвигатель привода гидронасоса, кВт",11
48,"Электродвигатель насоса охлаждения, кВт",075
49,"Электродвигатель насоса смазки, кВт",025
50,"Электродвигатель транспортера стружки, кВт",04
51,"Суммарная мощность электродвигателей, кВт",1785
52,Габаритные размеры и масса станка,
53,"Габаритные размеры станка (длина х ширина х высота), мм",2897 х 1810 х 2250
54,"Масса станка с электрооборудованием и охлаждением, кг",10800
