index,Наименование параметра,6А73П
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,П
2,"Размеры горизонтального (углового) стола, мм",125 х 320
3,"Размеры вертикального стола, мм",125 х 320
4,"Наибольшие размеры обрабатываемой с одной установки детали (длина х ширина х высота), кг",125 х 200 х 200
5,"Расстояние от оси горизонтального шпинделя до рабочей поверхности горизонтального стола, мм",55..290
6,"Расстояние от торца вертикального шпинделя до рабочей поверхности горизонтального стола, мм",0..250
7,"Наибольший вылет оси вертикального шпинделя, мм",
8,"Наибольший продольный ход стола (X), мм",200
9,"Наибольший вертикальный ход стола (Z), мм",200
10,"Наибольший поперечный ход шпиндельной бабки (Y), мм",125
11,"Цена деления лимбов, мм",
12,Горизонтальный и вертикальный шпиндели станка,
13,"Частота вращения горизонтального шпинделя, об/мин",80..2500
14,"Частота вращения вертикального шпинделя, об/мин",60..2500
15,Количество скоростей шпинделей,Б/С
16,"Наибольший допустимый крутящий момент на горизонтальном шпинделе, Нм",
17,"Наибольший допустимый крутящий момент на вертикальном шпинделе, Нм",
18,"Наибольшее осевое перемещение вертикального шпинделя, мм",
19,"Наибольший угол поворота вертикальной головки в вертикальной плоскости, градус",
20,Конус горизонтального и вертикального шпинделей,Морзе 2
21,Стол,
22,"Пределы продольных и вертикальных подач стола (X, Z), мм/мин","8, 16, 32, 64, 128, 256"
23,"Ускоренный ход стола, мм/мин",нет
24,Количество подач стола,6
25,"Наибольшее усилие подач стола, Н",
26,Шпиндельная бабка,
27,"Пределы поперечных подач шпиндельной бабки (Y), мм/мин","8, 16, 32, 64, 128, 256"
28,Количество подач шпиндельной бабки,6
29,"Наибольшее усилие подач шпиндельной бабки, Н",
30,"Ускоренный ход шпиндельной бабки, мм/мин",
31,Электрооборудование и привод станка,
32,Количество электродвигателей на станке,2
33,"Электродвигатель главного привода, кВт (об/мин)","0,6 (1350)"
34,"Электродвигатель привода подач, кВт (об/мин)","0,05 (1390)"
35,"Электродвигатель привода насоса охлаждения, кВт",012
36,"Суммарная мощность электродвигателей, кВт",077
37,Габарит и масса станка,
38,"Габариты станка (длина х ширина х высота), мм",690 х 820 х 1565
39,"Масса станка, кг",455
