index,Наименование параметра,КОРВЕТ-407
0,Основные параметры станка,
1,"Наибольший диаметр заготовки над станиной, мм",220
2,"Наибольший диаметр заготовки над суппортом, мм",
3,"Наибольшая длина заготовки в центрах (РМЦ), мм",750
4,"Рекомендуемая глубина точения за один проход, мм",02
5,"Максимальная глубина точения за один проход, мм",03
6,"Максимальный размер державки резца, мм",13 х 13
7,"Максимальная масса заготовки обрабатываемой в патроне, мм",1235
8,"Максимальная масса заготовки обрабатываемой в центрах, мм",1205
9,Шпиндель,
10,"Диаметр сквозного отверстия в шпинделе, мм",20
11,Конус Морзе шпинделя,Морзе 3
12,Число ступеней частот прямого вращения шпинделя,6
13,"Частота прямого вращения шпинделя, об/мин","100, 250, 350, 500, 900, 1800"
14,"Диаметр токарного патрона, мм",100
15,"Наибольшее радиальное биение шпинделя, мм",001
16,Суппорт. Подачи,
17,"Наибольшее продольное перемещение каретки суппорта, мм",
18,"Перемещение суппорта продольное на одно деление лимба, мм",0025
19,"Наибольшее поперечное перемещение суппорта, мм",110
20,"Перемещение суппорта поперечное на одно деление лимба, мм",0025
21,"Наибольшее перемещение верхних (резцовых) салазок (поворотного суппорта), мм",50
22,"Перемещение резцовых салазок на одно деление лимба, мм",0025
23,"Угол поворота резцовых салазок, град",±45°
24,Число ступеней продольных подач суппорта,
25,"Пределы продольных рабочих подач суппорта, мм/об",011..030
26,"Пределы рабочих поперечных подач суппорта, мм/об",нет
27,Количество нарезаемых резьб метрических,12
28,"Пределы шагов нарезаемых резьб метрических, мм",05..30
29,Пределы шагов нарезаемых резьб дюймовых,8..56
30,Пределы шагов нарезаемых резьб модульных,нет
31,Пределы шагов нарезаемых резьб питчевых,нет
32,Задняя бабка,
33,Конус Морзе задней бабки,№2
34,"Наибольшее перемещение пиноли, мм",40
35,Фрезерная обработка,
36,"Максимальный диаметр сверления, мм",16
37,"Максимальный диаметр концевой фрезы, мм",13
38,"Максимальный диаметр торцевого фрезерования, мм",25
39,Конус Морзе фрезерного шпинделя,№3
40,"Частота вращения фрезерного шпинделя, об/мин","50..1100, 120..2500"
41,"Наибольшее радиальное биение фрезерного шпинделя, мм",002
42,"Максимальная масса обрабатываемой заготовки, мм",60
43,Электрооборудование,
44,"Номинальное напряжение питания, В",220 в 50 Гц
45,"Электродвигатель главного привода токарного станка, кВт",075
46,"Электродвигатель главного привода фрезерного станка, кВт","0,55 коллекторный"
47,Габариты и масса станка,
48,"Габариты станка (длина ширина высота), мм",1250 х 570 х 820
49,"Масса станка, кг",150
