index,Наименование параметра,2М112
0,Основные параметры станка,
1,"Наибольший диаметр сверления, мм",12
2,Наименьшее и наибольшее расстояние от торца шпинделя до стола,0..400
3,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",190
4,Рабочий стол,
5,"Ширина рабочей поверхности стола, мм",250
6,Число Т-образных пазов,3
7,Шпиндель,
8,"Наибольшее перемещение шпиндельной головки (траверсы) по колонне, мм",
9,"Ход гильзы шпинделя, мм",100
10,"Частота вращения шпинделя, об/мин","450, 800, 1400, 2500, 4500"
11,Количество скоростей шпинделя,5
12,Конус шпинделя,Морзе В18
13,Привод,
14,"Электродвигатель привода главного движения, кВт",055
15,Габарит и масса станка,
16,"Габариты станка (длина ширина высота), мм",795 х 370 х 950
17,"Масса станка, кг",120
