index,Наименование параметра,2С150ПМФ4
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,П
2,"Пределы диаметров сверления, мм",5..50
3,"Наибольший условный диаметр сверления в стали 45, мм",40
4,"Расстояние от оси шпинделя до стойки (вылет), мм",550
5,"Расстояние от торца шпинделя до поверхности стола, мм",200..950
6,"Наибольшие размеры устанавливаемой заготовки (длина х ширина х высота), мм",800 х 500 х 620
7,"Наибольший диаметр растачивания, мм",160
8,"Пределы диаметров нарезаемой резьбы, мм",М6..М36
9,"Наибольший диаметр торцевой фрезы, мм",125
10,Рабочий стол,
11,"Размеры рабочей поверхности стола, мм",500 х 1000
12,"Максимальная нагрузка на стол (по центру), кг",
13,Число Т-образных пазов Размеры Т-образных пазов,5
14,"Наибольшее продольное перемещение стола (X), мм",800
15,"Наибольшее поперечное перемещение стола (Y), мм",500
16,"Наибольшее вертикальное перемещение шпиндельной головки (Z), мм",750
17,"Предел рабочих подач стола и ползуна, мм/мин",1..5000
18,"Скорость быстрого перемещения по координатам X, Y, Z, м/мин",12
19,"Допустимое усилие подачи по координате X, Y, кН",6
20,"Допустимое усилие подачи по координате Z, кН",15/ 20 (11/15 кВт)
21,"Точность позиционирования по координате X, Y, мм",30
22,"Точность позиционирования по координате Z, мм",50
23,Шпиндель,
24,"Частота вращения шпинделя, об/мин",28..3500
25,Количество скоростей шпинделя,Б/с
26,"Наибольший крутящий момент на шпинделе при 11 кВт, Нм",200 (режим S1)280 (режим S2)
27,"Наибольший крутящий момент на шпинделе при 15 кВт, Нм",270 (режим S1)370 (режим S2)
28,Конус шпинделя 7:24,40 АТ5
29,Система ЧПУ,
30,Модель устройства ЧПУ,2с42-65
31,Количество управляемых координат,4
32,Дискретность отсчета,0001
33,Количество одновременно управляемых координат при линейной/ круговой интерполяции,4/2
34,Магазин инструмента,
35,"Емкость инструментального магазина, шт.",16
36,"Время смены инструмента/ от реза до реза, с",
37,"Наибольший диаметр инструмента, устанавливаемого в магазине, мм (без пропуска гнезд)",90
38,"Наибольшая длина инструмента, устанавливаемого в магазине, мм",350
39,"Максимальный диаметр инструмента, устанавливаемого в магазине мм",90
40,"Наибольшая масса оправки, устанавливаемой в магазине, кг",
41,Электрооборудование и привод,
42,"Электродвигатель привода главного движения, кВт",11/ 15
43,"Электродвигатели привода подач (X, Y, Z), кВт",22
44,"Электродвигатели зажима инструмента, кВт",018
45,"Электронасос охлаждающей жидкости, кВт",012
46,"Электродвигатель вращения магазина, кВт",018
47,"Электродвигатель автооператора, кВт",
48,"Суммарная мощность установленных на станке электродвигателей, кВт","17,9/ 21,9"
49,Габариты и масса станка,
50,"Габариты станка (длина ширина высота), мм",3100 х 2450 х 3500
51,"Масса станка с приставным оборудованием, кг",6128
