index,Наименование параметра,2А637Ф1
0,Основные параметры станка,
1,"Диаметр выдвижного расточного шпинделя, мм",160
2,"Точность установки координат, мм",001
3,Стол,
4,"Рабочая поверхность стола, мм",1600 х 1800
5,"Наибольшая масса обрабатываемого изделия, кг",10000
6,"Наибольшее перемещение стола поперечное (по оси X), мм",2000
7,"Наибольшее перемещение стола продольное (по оси W), мм",1600
8,"Наибольшее вертикальное перемещение шпиндельной бабки (установочное) (по оси Y), мм",1600
9,"Наибольшее горизонтальное (осевое) перемещение шпинделя (по оси Z), мм",1000
10,"Угол поворота стола (по оси B), град",4 х 90°
11,"Пределы рабочих подач по осям X,Y,Z,W, мм/мин",2..2000
12,"Наибольшее усиление подачи стола (вдоль и поперек), кгс",20
13,"Скорость быстрых перемещений по осям X, Y, W, м/мин",5
14,"Скорость быстрых перемещений шпинделя по оси Z, м/мин",4
15,Шпиндель,
16,"Частота вращения шпинделя, об/мин",5..1000
17,Количество скоростей шпинделя,
18,"Пределы рабочих подач шпинделя, мм/мин",2..2000
19,"Пределы рабочих подач радиального суппорта, мм/мин",
20,"Пределы рабочих подач шпиндельной бабки, мм/мин",2..2000
21,"Скорость быстрых перемещений шпиндельной бабки, м/мин",5
22,"Скорость быстрых перемещений шпинделя, м/мин",5
23,"Скорость вращения планшайбы, об/мин",-
24,Количество скоростей планшайбы,
25,"Наибольшее перемещение радиального суппорта планшайбы, мм",-
26,"Скорость быстрых перемещений радиального суппорта, м/мин",
27,"Наибольший крутящий момент на шпинделе, кН*м",45
28,"Наибольший крутящий момент на планшайбе, кН*м",-
29,"Наибольшее усиление подачи шпинделя, кН",20
30,"Наибольшее усиление подачи суппорта, кН",-
31,"Наибольшее усиление подачи бабки, кН",20
32,"Нарезаемая метрическая резьба, мм",
33,"Нарезаемая дюймовая резьба, число ниток на 1""",
34,"Наибольшее тангенциальное усилие резания, кН",20
35,"Наибольшее тангенциальное усилие резания при растачивании без радиальной подачи, кН",-
36,Привод,
37,Количество электродвигателей на станке,9
38,"Электродвигатель привода главного движения Мощность, кВт",22
39,"Электродвигатель привода продольной подачи стола и шпинделя, кВт",
40,"Электродвигатель привода поперечной подачи и поворота стола, кВт",
41,"Суммарная мощность электродвигателей, кВт",355
42,Габариты и масса станка,
43,"Габариты станка, включая ход стола и салазок, мм",5622 х 8160 х 5135
44,"Масса станка, кг",33337
