index,Наименование параметра,2Н636Ф1
0,Основные параметры станка,
1,"Диаметр выдвижного расточного шпинделя, мм",125
2,"Точность установки координат, мм",001
3,"Рабочая поверхность стола, мм",1600 х 1800
4,"Наибольшая масса обрабатываемого изделия, кг",8000
5,"Наибольшее перемещение стола поперечное (по оси X), мм",1400
6,"Наибольшее перемещение стола продольное (по оси W), мм",1600
7,"Наибольшее вертикальное перемещение шпиндельной бабки (установочное) (по оси Y), мм",1400
8,"Наибольшее горизонтальное (осевое) перемещение шпинделя (по оси Z), мм",1000
9,"Угол поворота стола (по оси B), град",4 х 90°
10,"Пределы рабочих подач по осям X,Y,Z,W, мм/мин",2..2000
11,"Наибольшее усиление подачи стола (вдоль и поперек), кгс",20
12,"Скорость быстрых перемещений по осям X, Y, W, м/мин",5
13,"Скорость быстрых перемещений шпинделя по оси Z, м/мин",4
14,Шпиндельная бабка. Выдвижной шпиндель,
15,"Частота вращения шпинделя, об/мин",63..1250
16,Количество скоростей шпинделя,21
17,Конец выдвижного шпинделя по ГОСТ 24644-81,
18,"Пределы рабочих подач шпинделя, мм/мин",2..1120
19,"Пределы рабочих подач шпиндельной бабки, мм/мин",2..1120
20,"Скорость быстрых перемещений шпиндельной бабки, м/мин",27
21,"Скорость быстрых перемещений шпинделя, м/мин",27
22,"Наибольший крутящий момент на шпинделе, кН*м",35
23,"Наибольшее усилие подачи шпинделя, кН",20
24,"Наибольшее усилие подачи бабки, кН",20
25,"Нарезаемая метрическая резьба, мм",
26,"Нарезаемая дюймовая резьба, число ниток на 1""",
27,"Наибольшее тангенциальное усилие резания, кН",
28,"Наибольшее тангенциальное усилие резания при растачивании без радиальной подачи, кН",
29,Планшайба,
30,"Диаметр планшайбы с радиальным суппортом, мм",800
31,Количество скоростей планшайбы,12
32,"Скорость вращения планшайбы, об/мин",5..315
33,"Наибольшее перемещение радиального суппорта планшайбы, мм",200
34,"Скорость быстрых перемещений радиального суппорта, м/мин",
35,"Пределы рабочих подач радиального суппорта, мм/мин","0,63…630"
36,"Наибольший крутящий момент на планшайбе, кН*м",72
37,"Наибольшее усилие подачи радиального суппорта, кН",7
38,Привод,
39,Количество электродвигателей на станке,
40,"Электродвигатель привода главного движения Мощность, кВт",20
41,"Электродвигатель привода продольной подачи стола и шпинделя, кВт",
42,"Электродвигатель привода поперечной подачи и поворота стола, кВт",
43,"Суммарная мощность электродвигателей, кВт",
44,Габариты и масса станка,
45,"Габариты станка, включая ход стола и салазок, мм",6830 х 4110 х 4180
46,"Масса станка, кг",34600
