index,Наименование параметра,КОРВЕТ-46
0,Основные параметры станка,
1,"Диаметр сверла, мм",3..16
2,"Размер стола, мм",170 х 175
3,"Размер опорной базы (основания), мм",320 х 195
4,"Диаметр колонны, мм",46
5,"Наибольшее расстояние от торца шпинделя до стола, мм",245
6,"Наибольшее расстояние от торца шпинделя до основания, мм",330
7,"Расстояние от шпинделя до колонны (вылет), мм",115
8,Тиски в комплекте,"2,5"""
9,Шпиндель,
10,"Скорости вращения шпинделя, об/мин (Число ступеней)","280, 450, 540, 620, 800, 1000, 1550, 1700, 2350 (9)"
11,"Ход шпинделя, мм",50
12,Посадка патрона,В16
13,Конус шпинделя,В16 Морзе
14,"Угол наклона шпинделя, град",-
15,"Горизонтальное перемещение шпинделя, мм",-
16,"Индикатор частоты вращения шпинделя, мм",-
17,Электрооборудование,
18,"Номинальное напряжение питания, В","220 ±22, 50 Гц"
19,"Номинальная потребляемая мощность, Вт",500
20,Тип двигателя,асинхронный
21,Габариты и масса станка,
22,"Габариты упаковки станка (длина ширина высота), мм",465 х 355 х 225
23,"Масса станка нетто/брутто, кг",19/21
