index,Наименование параметра,3Б161
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольший диаметр обрабатываемого изделия, мм",280
3,"Наибольшая длина обрабатываемого изделия, мм",1000
4,"Наибольший диаметр шлифования в люнете, мм",60
5,"Наибольший диаметр шлифования без люнета, мм",250
6,"Наименьший диаметр шлифования, мм",
7,"Наибольшая длина шлифования, мм",900
8,"Расстояние от оси шпинделя передней бабки до зеркала стола (высота центров), мм",150
9,"Наибольшая масса обрабатываемого изделия, кг",40
10,Рабочий стол станка,
11,"Наибольшая длина перемещения стола, мм",920
12,"Ручное ускоренное перемещения стола за один оборот маховика, мм",226
13,"Ручное замедленное перемещения стола за один оборот маховика, мм",53
14,"Наименьший ход стола от гидросистемы при переключении упорами, мм",8
15,"Скорость перемещения стола от гидросистемы (бесступенчатое регулирование), м/мин",100..6000
16,"Наибольший угол поворота верхнего стола по часовой стрелке, град",3°
17,"Наибольший угол поворота верхнего стола против часовой стрелки, град",8°
18,"Цена деления шкалы поворота верхнего стола, град",0°20'
19,"Конусность, мм/м",10
20,Шлифовальная бабка,
21,"Диаметр шлифовального круга, мм",600..450
22,"Наибольшая ширина (высота) шлифовального круга, мм",63
23,"Частота вращения шпинделя шлифовальной бабки, об/мин","1112, 1272"
24,"Скорость резания шлифовального круга, м/с",
25,"Наибольшее перемещение шлифовальной бабки по винту, мм",200
26,"Величина быстрого подвода шлифовальной бабки от гидравлики, мм",50
27,"Время быстрого подвода шлифовальной бабки, с",2
28,"Периодическая подача шлифовальной бабки на диметр изделия от храпового механизма (при реверсе справа, слева, при каждом реверсе), мм",0005..006
29,"Периодическая подача шлифовальной бабки на диметр изделия от механизма врезания (при реверсе справа, слева, при каждом реверсе), мм",-
30,"Непрерывная подача для врезного шлифования скорость, мм/мин",-
31,"Непрерывная подача для врезного шлифования, мм на оборот изделия",-
32,"Цена деления лимба поперечной подачи на диаметр изделия, мм",0005
33,"Величина поперечного перемещения шлифовальной бабки за один оборот маховика, мм",1
34,Передняя бабка,
35,"Частота вращения изделия (бесступенчатое регулирование), об/мин",63..400
36,Задняя бабка,
37,"Величина отвода пиноли задней бабки от руки, мм",35±2
38,"Величина отвода пиноли задней бабки от гидросистемы, мм",35±2
39,Привод и электрооборудование станка,
40,Количество электродвигателей на станке,7
41,"Электродвигатель шпинделя шлифовальной бабки (Ш), кВт",75
42,"Электродвигатель привода изделия (И), кВт",076
43,"Электродвигатель насоса гидросистемы (Г), кВт",15
44,"Электродвигатель насоса системы смазки подшипников шпинделя (С), кВт",008
45,"Электродвигатель насоса системы смазки направляющих стола (1С), кВт",008
46,"Электродвигатель насоса системы охлаждения (Н), кВт",012
47,"Электродвигатель магнитного сепаратора (М), кВт",008
48,Габаритные размеры и масса станка,
49,"Габаритные размеры станка (длина х ширина х высота), мм",4100 х 2100 х 1560
50,"Масса станка с электрооборудованием и охлаждением, кг",4500
