index,Наименование параметра,1541
0,Основные параметры,
1,"Наибольший диаметр изделия, обрабатываемого вертикальным суппортами, мм",1600
2,"Наибольший диаметр изделия, обрабатываемого боковым суппортами, мм",1400
3,"Наибольшая высота обрабатываемого изделия, мм",1000
4,"Диаметр планшайбы, мм",1400
5,"Наибольшая масса устанавливаемого изделия при 6,3..160 оборотах планшайбы в минуту",-
6,Наибольшая масса устанавливаемого изделия при 4..63 оборотах планшайбы в минуту,5000
7,Вертикальный суппорт,
8,"Наибольшее горизонтальное перемещение, мм",1000
9,"Наибольшее вертикальное перемещение, мм",700
10,"Цена деления лимба горизонтального и вертикального перемещения, мм",005
11,"Горизонтальное и вертикальное перемещение за один оборот лимба, мм",6
12,"Скорость быстрого горизонтального и вертикального перемещения (Скорость установочных перемещений), м/мин",22
13,"Наибольший угол поворота ползуна суппорта, град",45
14,"Цена деления лимба поворота ползуна суппорта, мин",1
15,"Цена деления шкалы поворота ползуна суппорта, град",1
16,"Диаметр отверстий револьверной головки суппорта, мм",70А
17,"Наибольшие размеры сечения державки резца (ширина х высота), мм",25 х 40
18,Количество позиций револьверной головки,5
19,"Наличие выключающих упоров горизонтального и вертикального перемещения, мм",Есть
20,Горизонтальный суппорт (боковой),
21,"Наибольшее горизонтальное перемещение, мм",630
22,"Наибольшее вертикальное перемещение, мм",970
23,"Цена деления лимба горизонтального и вертикального перемещения, мм",005
24,"Горизонтальное и вертикальное перемещения за один оборот лимба, мм",25
25,"Скорость быстрого горизонтального и вертикального перемещения (Скорость установочных перемещений), м/мин",22
26,"Наличие выключающих упоров горизонтального и вертикального перемещения, мм",Есть
27,"Наибольшие размеры державки резца, мм",25 х 40
28,Количество резцов одновременно устанавливаемых в резцедержатель бокового суппорта,4
29,Поперечина,
30,"Наибольшее перемещение, мм",620
31,"Скорость установочных перемещений, м/мин",4
32,Выключающие упоры,Имеются
33,Блокировка перемещения в процессе резания,Имеется
34,Механика станка,
35,Число скоростей планшайбы,18
36,Число оборотов планшайбы в минуту,4..200
37,Число подач суппортов,18
38,"Вертикальные и горизонтальные подачи суппортов, мм/об",004..16
39,"Наибольшее допускаемое усилие резания вертикальным суппортом, кгс",2800
40,"Наибольшее допускаемое усилие резания горизонтальным суппортом, кгс",2240
41,"Наибольшее допускаемое усилие резания двумя суппортами, кгс",4500
42,Привод и электрооборудование станка,
43,Количество электродвигателей на станке,5
44,"Электродвигатель привода главного движения, кВт",
45,"Электродвигатель установочных перемещений вертикального суппорта, кВт",
46,"Электродвигатель установочных перемещений горизонтального суппорта, кВт",
47,"Электродвигатель перемещения поперечины, кВт",
48,"Электродвигатель насоса гидросистемы, кВт",
49,Габарит и масса станка,
50,"Габарит станка (длнна х ширина х высота), мм",3380 х 3240 х 4140
51,"Масса станка, кг",17800
