index,Наименование параметра,1В61
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр заготовки устанавливаемой над станиной, мм",320
3,"Наибольший диаметр заготовки обрабатываемой над суппортом, мм",160
4,"Наибольшая длина заготовки (РМЦ), мм","500, 710"
5,"Наибольшая длина обтачивания (Наибольшее продольное перемещение суппорта), мм","430, 640"
6,"Высота центров, мм",170
7,"Наибольшее рассояние от оси центров до кромки резцедержателя, мм",180
8,"Высота от опорной поверхности резца до оси шпинделя, мм",25
9,"Наибольшие размеры сечения державки резца (ширина х высота), мм",22 х 35
10,Шпиндель,
11,"Диаметр сквозного отверстия в шпинделе, мм",35
12,"Наибольший диаметр прутка, проходящего через отверстие в шпинделе мм",32
13,Число ступеней частот прямого и обратного вращения шпинделя,8
14,"Частота прямого и обратного вращения шпинделя, об/мин",32..1200
15,Размер внутреннего конуса в шпинделе по ГОСТ 13214-67,М5
16,Конец шпинделя по ГОСТ 12593-72,6К
17,Торможение шпинделя,есть
18,Суппорт. Подачи,
19,"Наибольшее продольное перемещение каретки суппорта, мм",600
20,"Наибольшее поперечное перемещение суппорта, мм",200
21,"Продольное перемещение суппорта на одно деление лимба, мм",05
22,"Продольное перемещение суппорта на один оборот лимба, мм",100
23,"Поперечное перемещение суппорта на одно деление лимба, мм",005
24,"Поперечное перемещение суппорта на один оборот лимба, мм",5
25,Число ступеней продольных и поперечных подач,
26,"Пределы скорости продольных подач, мм/об",008..12
27,"Пределы скорости поперечных подач, мм/об",004..06
28,"Скорость быстрых перемещений суппорта, продольных/ поперечных, м/мин",нет
29,Количество нарезаемых резьб метрических,
30,"Пределы шагов нарезаемых резьб метрических, мм",05..96
31,Количество нарезаемых резьб дюймовых,
32,Пределы шагов нарезаемых резьб дюймовых,025...48
33,Количество нарезаемых резьб модульных,
34,Пределы шагов нарезаемых резьб модульных,025...48
35,Количество нарезаемых резьб питчевых,
36,Пределы шагов нарезаемых резьб питчевых,05..96
37,Предохранитель от перегрузки,
38,Блокировка продольных и поперечных подач,
39,Выключающие продольные упоры,
40,Резцовые салазки (Верхний суппорт),
41,"Наибольшее перемещение верхнего суппорта (резцовых салазок), мм",125
42,"Цена деления лимба верхнего суппорта (резцовых салазок), мм",005
43,"Перемещение на один оборот лимба, мм",
44,"Наибольший угол поворота, град",±60°
45,Задняя бабка,
46,"Наибольшее перемещение пиноли задней бабки, мм",120
47,"Наибольшее перемещение задней бабки, мм",±12
48,Центр в пиноли задней бабки,Морзе 4
49,Электрооборудование,
50,Количество электродвигателей на станке,2
51,"Электродвигатель главного привода, кВт (об/мин)","2,2 (1430)"
52,"Электродвигатель насоса охлаждения, кВт (об/мин)","0,12 (2800)"
53,Патрон 3-х кулачковый самоцентрирующий,
54,"Диаметр патрона, мм",Ø 200
55,"Диаметр переходного фланца, мм",
56,"Вес, кг",
57,Диаметр зажима,
58,Габариты и масса станка,
59,"Габариты станка (длина ширина высота), мм",1880 х 800 х 1450
60,"Масса станка, кг",1200
