index,Наименование параметра,2А125
0,Основные параметры станка,
1,"Наибольший диаметр сверления в стали 45, мм",25
2,"Наименьшее и наибольшее расстояние от торца шпинделя до стола, мм",0… 700
3,"Наименьшее и наибольшее расстояние от торца шпинделя до плиты, мм",750… 1125
4,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",250
5,Рабочий стол,
6,"Максимальная нагрузка на стол (по центру), кг",
7,"Размеры рабочей поверхности стола, мм",500 х 375
8,Число Т-образных пазов Размеры Т-образных пазов,3
9,"Наибольшее вертикальное перемещение стола (ось Z), мм",325
10,Шпиндель,
11,"Наибольшее перемещение шпиндельной бабки (салазок шпинделя), мм",200
12,"Наибольшее перемещение (ход) шпинделя, мм",175
13,"Частота вращения шпинделя, об/мин (число ступеней)",97… 1360 (9)
14,Количество скоростей шпинделя,9
15,"Наибольший допустимый крутящий момент, Н*м (кгс*м)",250
16,Конус шпинделя,Морзе 3
17,Механика станка,
18,Число ступеней рабочих подач,9
19,"Пределы вертикальных рабочих подач на один оборот шпинделя, мм (число ступеней)","0,1… 0,81 (9)"
20,"Наибольшее усилие подачи, Н (кгс)",9000 (900)
21,Динамическое торможение шпинделя,Есть
22,Электрооборудование и привод станка,
23,"Электродвигатель привода главного движения, кВт",28
24,Электронасос охлаждающей жидкости Тип,Х14-22М
25,Габариты и масса станка,
26,"Габариты станка (длина х ширина х высота), мм",980 х 825 х 2300
27,"Масса станка, кг",870
