index,Наименование параметра,161-А
0,Основные параметры,
1,Класс точности по ГОСТ 8,Н
2,"Наибольший диаметр заготовки обрабатываемой над станиной, мм",350
3,"Наибольший диаметр заготовки обрабатываемой над нижней частью суппорта, мм",200
4,"Наибольшая длина заготовки (РМЦ), мм",1000
5,"Высота оси центров над плоскими направляющими станины, мм",175
6,"Высота от опорной поверхности резца до линии центров, мм",20
7,"Наибольшее рассояние от оси центров до кромки резцедержателя, мм",
8,Шпиндель,
9,"Диаметр сквозного отверстия в шпинделе, мм",Ø 40
10,"Количество ступеней прямого вращения шпинделя, об/мин",9
11,"Частота прямого вращения шпинделя, об/мин",13..475
12,"Размер внутреннего конуса в шпинделе, М",Морзе 5
13,Конец шпинделя,М68 х 6
14,"Стандартный токарный патрон, мм",Ø 240
15,Торможение шпинделя,Есть
16,Подачи,
17,"Наибольшая длина хода каретки суппорта, мм",1065
18,"Цена деления лимба продольного перемещения суппорта, мм",
19,"Продольное перемещение за один оборот лимба, мм",
20,"Наибольшее поперечное перемещение суппорта, мм",175
21,"Цена деления лимба поперечного перемещения суппорта, мм",
22,"Поперечное перемещение за один оборот лимба, мм",
23,"Пределы рабочих подач продольных, мм/об","0,062..3,556 шагов"
24,"Пределы рабочих подач поперечных, мм/об","0,052..2,9256 шагов"
25,Резьбоуказатель,есть
26,"Скорость быстрых перемещений суппорта, продольных, м/мин",нет
27,"Скорость быстрых перемещений суппорта, поперечных, м/мин",нет
28,"Пределы шагов нарезаемых резьб метрических, мм",025..14
29,"Пределы шагов нарезаемых резьб Витворта, число ниток на дюйм",2..44
30,"Пределы шагов нарезаемых резьб дюймовых, число ниток на дюйм",
31,Пределы шагов нарезаемых резьб модульных,
32,Выключающие продольные упоры,нет
33,Выключающие поперечные упоры,
34,Быстрое перемещение суппорта,нет
35,Резцовые салазки,
36,"Наибольшее перемещение верхних салазок суппорта, мм",
37,"Наибольший угол поворота верхних салазок суппорта, град",135°
38,"Цена деления лимба, мм",
39,"Наибольшие размеры державки резца, мм",16 х 20
40,"Цена деления шкалы поворота, град",1
41,Задняя бабка,
42,Размер внутреннего конуса пиноли задней бабки,Морзе 3
43,"Наибольшее перемещение пиноли задней бабки, мм",
44,"Цена деления линейки перемещение пиноли, мм",1
45,"Цена деления лимба перемещение пиноли, мм",
46,"Поперечное смещение пиноли, мм",±10
47,Электрооборудование,
48,Количество электродвигателей на станке,2
49,"Электродвигатель главного привода, кВт (об/мин)","3,4 (960)"
50,"Электродвигатель насоса охлаждения, кВт",
51,Насос охлаждения (помпа),
52,Габаритные размеры и масса станка,
53,"Габариты станка (длина ширина высота), мм",2335 х 1080 х 1250
54,"Масса станка, кг",1080
