index,Наименование параметра,2204ВМФ4
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,В
2,Модель устройства ЧПУ,"Размер 2М1300-84, 2С42, Фанук 6М-Е"
3,Количество управляемых координат,8
4,Количество одновременно управляемых координат при линейной/ круговой интерполяции,4/3
5,"Наибольший диаметр сверления в стали 45, мм",
6,"Наибольший диаметр растачивания, мм",
7,"Пределы диаметров нарезаемой резьбы, мм",
8,"Наибольший диаметр торцевой фрезы, мм",
9,"Наибольшая длина инструмента, устанавливаемого на станке, мм",350
10,"Наименьшее и наибольшее расстояние от оси шпинделя до стола, мм",90..590
11,"Расстояние от торца шпинделя до центра стола, мм",200..700
12,Рабочий стол,
13,"Размеры рабочей поверхности стола, мм",Ø 630
14,"Предельные размеры обрабатываемых поверхности (длина х ширина х высота), мм",400 х 400 х 300
15,"Максимальная нагрузка на стол (по центру), кг",300
16,Число Т-образных пазов Размеры Т-образных пазов,7
17,"Наибольшее продольное перемещение стола (X), мм",500
18,"Наибольшее поперечное перемещение стола (Z), мм",500
19,"Наибольшее вертикальное перемещение шпиндельной головки (Y), мм",500
20,"Предел рабочих подач стола и ползуна, мм/мин",1..4000
21,"Скорость быстрого перемещения по координатам X, Z, мм/мин",10000
22,"Скорость быстрого перемещения по координате Y, м/мин",10000
23,"Допустимое усилие подачи по координате X, Y, Z, кН",9806
24,"Точность позиционирования по координате X, Y, Z, мм",0012
25,"Наибольшая частота вращения стола (координата B), об/мин",10
26,Шпиндель,
27,"Частота вращения шпинделя, об/мин",40..2500
28,Количество скоростей шпинделя,Б/с
29,"Номинальный крутящий момент на шпинделе, Нм",320
30,Конус шпинделя по ГОСТ 15945-70,50
31,Магазин инструмента,
32,"Емкость инструментального магазина, шт.",30
33,"Время смены инструмента/ от реза до реза, с",5/ 16
34,"Наибольший диаметр инструмента, устанавливаемого в магазине, мм (без пропуска гнезд)",160 (100)
35,"Наибольшая длина инструмента, устанавливаемого в шпинделе станка, мм",350
36,"Максимальный диаметр сверла, мм",30
37,"Наибольшая масса оправки, устанавливаемой в магазине, кг",12/ 16
38,Электрооборудование и привод,
39,"Электродвигатель привода главного движения, кВт",63
40,"Электродвигатель переключения скоростей шпинделя, кВт",001
41,"Электродвигатели привода подач (X, Y, Z) и поворота стола, кВт",11
42,"Электродвигатели зажима инструмента, кВт",018
43,"Электродвигатели зажима стола и шпиндельной головки, кВт",001
44,"Электронасос охлаждающей жидкости, кВт",012
45,"Электродвигатель вращения магазина, кВт",04
46,"Электродвигатель автооператора, кВт",037
47,"Электродвигатель перегружателя, кВт",018
48,"Электродвигатель насоса смазки, кВт",025
49,"Суммарная мощность установленных на станке электродвигателей, кВт",112
50,Габариты и масса станка,
51,"Габариты станка (длина ширина высота), мм",3470 х 2900 х 2825
52,"Масса станка, кг",7250
