index,Наименование параметра,УДГ-200
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,П
2,"Высота центров, мм",105
3,"Наибольший диаметр обрабатываемой детали, мм",200
4,"Расстояние от основания делительной головки до торца шпинделя в его вертикальном положении: не более, мм",235
5,"Угол поворота шпинделя в вертикальной плоскости вниз от линии центров: не менее, град",5
6,"Угол поворота шпинделя в вертикальной плоскости вверх от линии центров: не менее, град",95
7,"Диаметр такарного патрона, мм",125
8,Конус шпинделя,Морзе №3
9,Резьба рабочего конца шпинделя,М39
10,"Диаметр отверстия шпинделя, мм",202
11,Передаточное отношение червячной пары,1 : 40
12,"Диапазон деления, включая простые числа",2..400
13,"Диаметр отверстий сменных колес, мм",20х19
14,Число отверстий делительного диска,1617192123293031
15,Число отверстий делительного диска на другой стороне,3337394143474954
16,"Цена деления лимба непосредственного деления, град",15
17,Модуль сменных шестерен,15
18,"Ширина направляющих шпонок, мм",14
19,Габариты и масса делительной головки,
20,"Габаритные размеры основания головки, мм",260 х 180
21,"Масса делительной головки, кг",50
