index,Наименование параметра,КОРВЕТ-403
0,Основные параметры станка,
1,"Наибольший диаметр заготовки над станиной, мм",220
2,"Наибольший диаметр заготовки над суппортом, мм",
3,"Наибольшая длина заготовки в центрах (РМЦ), мм",750
4,"Рекомендуемая глубина точения за один проход, мм",02
5,"Максимальная глубина точения за один проход, мм",03
6,"Максимальный размер державки резца, мм",13 х 13
7,Шпиндель,
8,"Диаметр сквозного отверстия в шпинделе, мм",20
9,Конус Морзе шпинделя,Морзе 3
10,Число ступеней частот прямого вращения шпинделя,6
11,"Частота прямого вращения шпинделя, об/мин","100, 250, 350, 500, 900, 1800"
12,Число ступеней частот обратного вращения шпинделя,6
13,"Частота обратного вращения шпинделя, об/мин","100, 250, 350, 500, 900, 1800"
14,"Диаметр токарного патрона, мм",100
15,"Наибольшее радиальное биение шпинделя, мм",001
16,Торможение шпинделя,нет
17,Блокировка рукояток,нет
18,Суппорт. Подачи,
19,"Наибольшее продольное перемещение каретки суппорта, мм",
20,"Перемещение суппорта продольное на одно деление лимба, мм",0025
21,"Наибольшее поперечное перемещение суппорта, мм",110
22,"Перемещение суппорта поперечное на одно деление лимба, мм",0025
23,"Наибольшее перемещение верхних (резцовых) салазок (поворотного суппорта), мм",50
24,"Перемещение резцовых салазок на одно деление лимба, мм",0025
25,"Угол поворота резцовых салазок, град",±45°
26,Число ступеней продольных подач суппорта,
27,"Пределы продольных рабочих подач суппорта, мм/об",011..030
28,"Пределы рабочих поперечных подач суппорта, мм/об",нет
29,Количество нарезаемых резьб метрических,12
30,"Пределы шагов нарезаемых резьб метрических, мм",05..30
31,Пределы шагов нарезаемых резьб дюймовых,8..56
32,Пределы шагов нарезаемых резьб модульных,нет
33,Пределы шагов нарезаемых резьб питчевых,нет
34,Задняя бабка,
35,Конус Морзе задней бабки,№2
36,"Наибольшее перемещение пиноли, мм",40
37,Электрооборудование,
38,"Номинальное напряжение питания, В",220 в 50 Гц
39,"Электродвигатель главного привода, кВт",075
40,Габариты и масса станка,
41,"Габариты станка (длина ширина высота), мм",1250 х 480 х 475
42,"Масса станка, кг",120
