index,Наименование параметра,1П326
0,Основные параметры станка,
1,"Наибольший диаметр обрабатываемого изделия над станиной, мм",
2,"Наибольший диаметр обрабатываемого прутка, мм",
3,"Наибольший диаметр обрабатываемого изделия над поперечным суппортом, мм",
4,"Наибольший диаметр обрабатываемого изделия над нижней частью поперечного суппорта, мм",
5,"Высота центров, мм",
6,"Расстояние от торца шпинделя до револьверной головки, мм",
7,Шпиндель,
8,"Диаметр отверстия в шпинделе, мм",
9,Количество рабочих скоростей шпинделя,
10,"Пределы чисел оборотов шпинделя, об/мин",
11,"Пределы чисел оборотов шпинделя (обратное вращение), об/мин",
12,Конец шпинделя фланцевый по ГОСТ 12595-75,
13,"Наибольший крутящий момент на шпинделе не менее, Нм (кг*м)",
14,Револьверный суппорт,
15,Тип револьверной головки по ГОСТ 3859-72,
16,Количество инструментов в револьверной головке,
17,"Диаметр отверстия под инструмент в револьверной головке, мм",
18,"Наибольшее продольное перемещение револьверного суппорта, мм",
19,Количество ступеней подач,
20,"Диапазон скоростей продольных подач револьверного суппорта, I ряд, мм/об (количество ступеней)",
21,"Диапазон скоростей продольных подач револьверного суппорта, II ряд, мм/об (количество ступеней)",
22,"Скорость быстрого продольного перемещения револьверного суппорта, м/мин (количество ступеней)",
23,Число упоров револьверного суппорта,
24,"Продольное перемещение револьверного суппорта на одно деление лимба, мм",
25,"Продольное перемещение револьверного суппорта на один оборот лимба, мм",
26,Поперечный суппорт,
27,Количество резцов в резцедержателе,
28,Количество резцов в заднем резцедержателе,
29,"Наибольшая ширина х длина резца, мм",
30,"Наибольшее перемещение поперечного суппорта продольное/поперечное, мм",
31,Количество ступеней продольных подач поперечного суппорта,
32,"Диапазон скоростей продольных подач поперечного суппорта, I ряд, мм/об (число ступеней)",
33,"Диапазон скоростей продольных подач поперечного суппорта, II ряд, мм/об (число ступеней)",
34,Количество ступеней поперечных подач поперечного суппорта,
35,"Диапазон скоростей поперечных подач поперечного суппорта, I ряд, мм/об (число ступеней)",
36,"Диапазон скоростей поперечных подач поперечного суппорта, II ряд, мм/об (число ступеней)",
37,"Скорость быстрого продольного перемещения суппорта, м/мин",
38,Число упоров продольного перемещения,5.0
39,Число упоров поперечного перемещения,
40,"Перемещение на одно деление лимба продольное/поперечное, мм",
41,"Перемещение на один оборот лимба продольное/поперечное, мм",
42,Электрооборудование станка,
43,"Количество электродвигателей на станке, кВт",
44,"Электродвигатель главного привода, кВт (об/мин)",
45,"Электродвигатель гидропривода, кВт (об/мин)",
46,"Электродвигатель насоса охлаждения, кВт (об/мин)",
47,Габариты и масса станка,
48,"Габаритные размеры станка (длина, ширина, высота), мм",
49,"Масса станка , кг",
