index,Наименование параметра,2Е470А
0,Основные параметры станка,
1,"Класс точности (Н,П,В,А,С)",А
2,"Рабочая поверхность стола, мм",1400 х 2240
3,"Наибольший диаметр сверления в стали 45, мм",
4,"Расстояние между стойками в свету (просвет), мм",2000
5,"Наибольшее перемещение стола продольно (X), мм",2000
6,"Наибольшее поперечное перемещение вертикальной шпиндельной головки (Y), мм",1400
7,"Наибольшее вертикальное перемещение горизонтальной шпиндельной головки (W), мм",920
8,"Наибольшее вертикальное перемещение пиноли шпинделя (Z), мм",360
9,"Наибольшее горизонтальное перемещение пиноли шпинделя (V), мм",360
10,"Наибольшее вертикальное перемещение траверсы, мм",900
11,"Наименьшее и наибольшее расстояние от торца шпинделя до стола, мм",170..1400
12,"Наименьшее и наибольшее расстояние от оси горизонтального шпинделя до стола, мм",80..1000
13,"Наибольший диаметр расточки в стали 45, мм",250
14,"Наибольший длина расточки за одну установку шпинделной бабки, мм",320
15,Шпиндельная бабка,
16,"Частота вращения шпинделя, об/мин",20..2000
17,Число ступеней вращения шпинделя,21
18,"Скорость установочных (ускоренных) перемещений шпиндельных головок, мм/мин",1600
19,Внутренний конус шпинделя (внутренний конус),ИСО 50 АТ4
20,"Диаметр выдвижной пиноли шпинделя, мм",135
21,"Пределы рабочих подач гильзы вертикального и горизонтального шпинделя и стола (X, Y, Z, W, V), мм/мин",08..630
22,Количество подач,30
23,"Пределы медленных доводочных подач гильзы вертикального и горизонтального шпинделя и стола (X, Y, Z, W, V), мм/мин при фрезеровании, мм/мин",08..20
24,Количество подач,15
25,Рабочий стол,
26,"Наибольшее перемещение стола (продольное/ поперечное), мм",2000
27,"Величина ускоренного перемещения стола, мм/мин",2500
28,"Пределы рабочих подач стола при фрезеровании, мм/мин",08..630
29,"Пределы медленных доводочных подач стола при фрезеровании, мм/мин",08..20
30,"Наибольшая масса обрабатываемого изделия, кг",2500
31,Точность станка,
32,"Точность координатных перемещений стола и шпиндельных головок, мм",001
33,"Точность установки координат, мм",0005
34,Привод,
35,Количество электродвигателей на станке,10
36,"Электродвигатель привода главного движения (вращение шпинделей), кВт (об/мин)","2,3; 3,9 (750; 1500)"
37,"Электродвигатель привода перемещения стола (постоянного тока), кВт (об/мин)","=3,4 (3000)"
38,"Электродвигатель привода перемещения шпиндельных головок и шпинделей (постоянного тока), кВт (об/мин)","=1,75 (3000)"
39,"Электродвигатель привода перемещения Траверсы, кВт (об/мин)","3,7 (1500)"
40,"Электродвигатель привода перемещения Люнета, кВт (об/мин)","0,75 (1500)"
41,"Электродвигатель привода перемещения Пульта, кВт (об/мин)","0,37 (1500)"
42,"Электродвигатель привода холодильной установки, кВт (об/мин)","1,7 (1500)"
43,"Электродвигатель вентилятора холодильной установки, кВт (об/мин)","0,18 (1500)"
44,"Электродвигатель насоса гидравлической системы, кВт (об/мин)","0,75 (1500)"
45,Электронасос охлаждающей жидкости (об/мин),018
46,Габарит станка,
47,"Габариты станка, включая ход стола и салазок с рекомендуемым расположением оборудования, мм",7225 х 4820 х 4880
48,"Масса станка с приставным оборудованием, кг",36000
