index,Наименование параметра,ОЦ1И22
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,Н
2,Модель устройства ЧПУ,Луч-43
3,"Количество управляемых координат, всего/ одновременно",4/3
4,"Наименьшее и наибольшее расстояние от торца шпинделя до стола, мм",400
5,"Наименьшее и наибольшее расстояние от торца шпинделя до планшайбы, мм",0..372
6,"Расстояние от оси шпинделя до вертикальных направляющих станины (вылет), мм",
7,"Предельные размеры обрабатываемых поверхности (длина х ширина х высота), мм",
8,"Максимальная нагрузка на стол (по центру), кг",
9,Рабочий стол,
10,"Размеры рабочей поверхности стола (длина х ширина), мм",1250 х 400
11,Число Т-образных пазов Размеры Т-образных пазов,3
12,"Наибольшее продольное перемещение стола (X), мм",±600
13,"Наибольшее поперечное перемещение стола (Y), мм",±200
14,"Наибольшее вертикальное перемещение стола (установочное) (Z), мм",-
15,"Предел рабочих подач стола и ползуна, мм/мин",0..4800
16,"Скорость быстрых перемещений стола (X, Y) / ползуна (Z), мм/мин",4800
17,"Допустимое усилие подачи по координате X и Y, Н",
18,"Допустимое усилие подачи по координате Z, Н",
19,"Точность позиционирования на длине 300, мм",0020
20,Стол наклонно-поворотный,
21,"Диаметр планшайбы наклонно-поворотного стола, мм",Ø 320
22,"Высота наклонно-поворотного стола, мм",205
23,"Наибольшие продольные / поперечные программируемые перемещения стола относительно оси шпинделя, мм",±600 /±200 /
24,"Наибольшие круговые программируемые перемещения стола относительно оси шпинделя, мм",±360°
25,"Наибольший диаметр обрабатываемого изделия, мм",Ø 200
26,"Наибольший угол наклона планшайбы, мм",90°
27,Шпиндель,
28,"Наибольшее перемещение ползуна с фрезерным шпинделем (Z), мм",300
29,"Частота вращения шпинделя, об/мин (число ступеней)","31,5..2500 (12)"
30,Количество скоростей шпинделя,12
31,"Наибольший крутящий момент, кНм",
32,Коэффициент ряда выходных частот вращения шпинделя,
33,Эскиз конца шпинделя по ГОСТ 24644-81 7:24,50
34,Магазин инструмента,
35,Емкость магазина инструмента,15
36,"Время смены инструмента от реза до реза, с",27
37,"Максимальный диаметр фрезы торцовой, мм",
38,"Максимальный диаметр фрезы концевой, мм",
39,"Максимальный диаметр сверления, мм",30
40,"Максимальный вес инструмента, кг",
41,"Вылет инструмента от торца шпинделя, мм, не более",200
42,Электрооборудование и привод,
43,"Электродвигатель привода главного движения, кВт (об/мин)",14 (3000)
44,"Электродвигатели привода подач HG-112B, HG-112C (оси X, Y), Нм",
45,"Электродвигатели привода подач ползуна HG-112C (ось Z), Нм",
46,"Электродвигатели привода подач ползуна (ось Z), кВт","1,1 х 3 (500)"
47,"Электродвигатель наладочного перемещения консоли, кВт (об/мин)",
48,"Электродвигатель гидростанции, кВт (об/мин)",
49,"Электродвигатель насоса смазки, кВт (об/мин)",
50,"Электронасос охлаждающей жидкости Мощность, кВт","0,12 (2800)"
51,"Производительность насоса СОЖ, л/мин",
52,Тип гидростанции,
53,Габариты и масса станка,
54,3680 х 4170 х 3150,
55,"Масса станка, кг",5800
