index,Наименование параметра,2А78
0,Основные параметры станка по ГОСТ 9520-73,
1,Класс точности станка по ГОСТ 8-82,П
2,"Диаметр растачиваемого отверстия наибольший/ наименьший, мм",200/ 15
3,"Наибольший диаметр сверления в стали 45, мм",15
4,"Размеры координатной расточки, мм",800 х 150
5,"Наибольшие размеры обрабатываемого изделия, мм",750 х 500 х 450
6,"Наибольшая масса обрабатываемого изделия, кг",200
7,"Наименьшее расстояние от торца шпинделя до стола, мм",25..525
8,"Точность межцентровых координат продольных/ поперечных, мм",0032
9,"Расстояние от оси шпинделя до стойки (вылет шпинделя), мм",280
10,Шпиндельная бабка,
11,"Наибольшее вертикальное перемещение шпиндельной бабки, мм",500
12,"Величина перемещения на один оборот маховика, мм",075
13,"Частота вращения шпинделя, об/мин",26..1200
14,Количество скоростей шпинделя,12
15,"Пределы рабочих подач на один оборот шпинделя, мм",0050..0200
16,Количество подач,4
17,"Скорость быстрого хода, мм/мин",2000
18,Предохранение от перегрузки механизма подач (муфта),имеется
19,Выключающие упоры,имеется
20,Автоматический возврат в исходное положение после окончания расточки,имеется
21,Рабочий стол,
22,"Рабочая поверхность стола, мм",1000 х 500
23,"Наибольшее перемещение стола, мм",800/ 150
24,"Скорость рабочего хода стола в продольном/ поперечном направлении, мм/мин",
25,"Перемещение стола станка на один оборот маховика в продольном/ поперечном направлении, мм","4,68/ 3,0"
26,"Величина ускоренного перемещения стола в продольном/ поперечном направлении, мм/мин",2000/ нет
27,Способ отсчета координат при перемещении стола,микроскоп
28,Выключающие упоры механического быстрого хода,имеется
29,Закрепление стола станка модели 2А78 от перемещений,ручное
30,Привод,
31,Количество электродвигателей на станке,2
32,"Электродвигатель привода главного движения, кВт",17
33,"Электродвигатель привода стола и ускоренного хода шпиндельной бабки, кВт",06
34,Габарит станка,
35,"Габариты станка, включая ход стола (длина х ширина х высота), мм",2500 х 1500 х 2135
36,"Масса станка, кг",2300
