index,Наименование параметра,МС-36
0,Основные параметры станка,
1,"Наибольший диаметр сверления кольцевой фрезой в стали 45, мм",40
2,"Наибольший диаметр зенкерования, мм",40
3,"Наибольший глубина сверления, мм",55
4,"Расстояние от оси шпинделя до основания (вылет), мм",39
5,"Наибольший диаметр сверления спиральным сверлом, мм",13
6,"Наибольший диаметр сверления корончатым сверлом, мм",40
7,"Наибольший диаметр нарезания резьбы, мм",-
8,Шпиндель,
9,"Наибольший ход ползуна, мм",70
10,Число скоростей вращения шпинделя,1
11,"Частота вращения шпинделя, об/мин",350
12,Патрон,Weldon 19мм
13,Электрооборудование. Привод,
14,"Напряжение сети питания, В",~220±10% 50±5% Гц
15,"Электродвигатель привода главного движения, Вт",1000
16,"Номинальная сила притяжения электоромагнита, Н",9500
17,"Размеры электоромагнитного основания, мм",80 х 160
18,"Длина шнура, м",3
19,Класс изоляции,I
20,Степень защиты оболочки (ГОСТ 14254),IP20
21,"Температурный режим работы, град",-40 +45
22,Габарит станка,
23,"Длина и ширина станка, мм",240 х 167
24,"Высота станка в верхнем положении ползуна, мм",376
25,"Высота станка в сложенном состоянии, мм",306
26,"Масса станка полная, кг",105
