index,Наименование параметра,6К11
0,Класс точности по ГОСТ 8-71 и ГОСТ 8-82,Н
1,Рабочий стол,
2,"Размеры рабочей поверхности стола (длина х ширина), мм",250 х 1000
3,"Максимальная нагрузка на стол (по центру), кг",
4,Число Т-образных пазов Размеры Т-образных пазов,3
5,"Наибольшее перемещение стола продольное (ось X), мм",710
6,"Наибольшее перемещение стола поперечное (ось Y), мм",250
7,"Наибольшее перемещение стола вертикальное (ось Z), мм",400
8,Наименьшее и наибольшее расстояние от торца шпинделя до стола,
9,"Расстояние от оси вертикального шпинделя до направляющих стойки, мм",
10,"Наибольший угол поворота стола, град",нет
11,"Перемещение стола на одно деление лимба (продольное, поперечное), мм",
12,"Перемещение стола на одно деление лимба (вертикальное), мм",
13,"Перемещение стола на один оборот лимба продольное и поперечное, мм",
14,"Перемещение стола на один оборот лимба вертикальное, мм",
15,Шпиндель,
16,"Ход гильзы шпинделя, мм",75
17,"Частота вращения шпинделя, об/мин (число ступеней)",16..1600 (21)
18,Количество скоростей шпинделя,21
19,Эскиз конца шпинделя по ГОСТ 836-72,
20,Конус шпинделя,ISO 50
21,"Угол поворота шпинделльной головки, град",±90°
22,Механика станка,
23,"Быстрый ход стола продольный/ поперечный, мм/мин",2900/ 2300
24,"Быстрый ход стола вертикальный, мм/мин",765
25,Число ступеней рабочих подач стола,16
26,"Пределы рабочих подач. Продольных/ поперечных, мм/мин (число ступеней)",31..1020 (16)
27,"Пределы рабочих подач поперечных, мм/мин (число ступеней)",27..790 (16)
28,"Пределы рабочих подач. Вертикальных, мм/мин",9..264
29,"Выключающие упоры подачи (продольной, поперечной, вертикальной)",есть
30,Блокировка ручной и механической подачи (продольной),
31,"Блокировка ручной и механической подачи (поперечной, вертикальной)",есть
32,Торможение шпинделя (муфта),есть
33,Предохранение от перегрузки (шариковая пара),есть
34,Привод. Электрооборудование,
35,"Электродвигатель привода главного движения, кВт (об/мин)",55
36,"Электродвигатель привода подач, кВт (об/мин)",15
37,Электронасос охлаждающей жидкости Тип,
38,"Электронасос охлаждающей жидкости, кВт",
39,"Производительность насоса СОЖ, л/мин",
40,Габарит и масса станка,
41,"Габариты станка (длина ширина высота), мм",2135 х 1725х 2290
42,"Масса станка, кг",2350
