index,Наименование параметра,514
0,Основные параметры станка,
1,"Наибольший диаметр нарезаемых цилиндрических прямозубых колес, мм",20..500
2,"Наибольший диаметр нарезаемых колес с внутренним зацеплением, мм",550
3,"Наибольший модуль нарезаемого колеса, мм",2..6
4,"Наибольшая длина зуба наружного зацепления (длина нарезки), мм",105
5,"Наибольшая длина зуба (длина нарезки) внутреннего зацепления, мм",75
6,"Наибольший угол наклона винтового зуба, град",23°
7,"Наибольшее расстояние от оси долбяка (шпинделя, штосселя) до оси стола (планшайбы), мм",0..350
8,"Расстояние от зеркала стола (планшайбы) до торца шпинделя, мм",35..160
9,Суппорт. Штоссель (Шпиндель),
10,"Наибольшее продольное перемещение суппорта, мм",
11,"Наибольший ход штосселя долбяка, мм",125
12,"Цена деления шкалы установки глубины долбления зуба, мм",
13,"Наибольший диаметр устанавливаемого долбяка, мм",
14,Пределы чисел двойных ходов долбяка в минуту,125..359
15,"Диаметр оправки под долбяк, мм",
16,Конец шпинделя для крепления инструмента,
17,Рабочий стол (планшайба),
18,"Диаметр фланца рабочего стола (планшайбы), мм",240
19,"Диаметр отверстия в шпинделе рабочего стола, мм",
20,"Наибольший отход стола от режущей кромки инструмента во время холостого хода, мм",05
21,"Быстрое вращение стола, об/мин",
22,"Цена деления лимба установки межцентрового расстояния, мм",
23,Автоматический подвод,
24,Автоматический останов,есть
25,Привод и электрооборудование станка,
26,Количество электродвигателей на станке,
27,"Электродвигатель главного привода, кВт",28
28,"Электродвигатель привода быстрого вращения стола, кВт",
29,"Электродвигатель насоса охлаждения, кВт",
30,"Суммарная мощность электродвигателей, кВт",
31,Габаритные размеры и масса станка,
32,"Габаритные размеры станка (длина х ширина х высота), мм",
33,"Масса станка с электрооборудованием и охлаждением, кг",
