index,Наименование параметра,2А106П
0,Основные параметры станка,
1,"Наибольший условный диаметр сверления, мм",6
2,Наименьшее и наибольшее расстояние от торца шпинделя до стола,25..200
3,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",125
4,Рабочий стол,
5,"Размеры рабочей поверхности стола, мм",200 х 200
6,Число Т-образных пазов Размеры Т-образных пазов,1
7,Шпиндель,
8,"Наибольшее перемещение шпиндельной головки по колонне, мм",105
9,"Ход гильзы шпинделя, мм",70
10,"Частота вращения шпинделя, об/мин",1548..15000
11,Количество скоростей шпинделя,62 шкива х 3
12,Конус шпинделя,Морзе II-Iв
13,Привод,
14,"Электродвигатель привода, кВт",04
15,Габарит и масса станка,
16,"Габариты станка (длина ширина высота), мм",600 х 350 х 650
17,"Масса станка, кг",73
