index,Наименование параметра,2Г942
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Пределы длины обрабатываемых деталей, мм:",100..1000
3,"Пределы диаметров устанавливаемых в тисках деталей, мм:",20..160
4,"Наибольшее усилие зажима детали, Н",25500
5,"Высота центров над станиной, мм",
6,"Высота центров над полом, мм",
7,Сверлильные головки,
8,"Наибольший поперечный общий ход, мм",
9,Количество скоростей фрезерного шпинделя: об/мин,6
10,Пределы частот вращения фрезерного шпинделя: об/мин,125..712
11,"Пределы подач фрезерного шпинделя, мм/мин",20..2000
12,"Наибольший диаметр устанавливаемой фрезы, мм",160
13,"Ускоренный ход продольный, м/мин",60
14,"Ускоренный ход поперечный, м/мин",45
15,Диаметр и конус отверстия под фрезу,
16,"Наибольший диаметр фрезерования, мм",150
17,Сверлильные головки,
18,"Ход пиноли сверлильного шпинделя, мм",100
19,"Наибольший поперечный общий ход, мм",
20,Количество скоростей сверлильного шпинделя: об/мин,6
21,Пределы частот вращения сверлильного шпинделя: об/мин,290..2300
22,"Пределы подач сверлильного шпинделя, мм/мин",20..2000
23,"Пределы диаметров устанавливаемых центровок, мм",315..1012
24,"Диаметр отверстия под сверло, мм",
25,"Наибольший диаметр сверления, мм",16
26,Электрооборудование. Привод,
27,"Питающая электросеть, В",380±38
28,Количество электродвигателей на станке,8
29,"Электродвигатель привода фрезерных головок, кВт (об/мин)",11 х 2
30,"Электродвигатель привода сверлильных головок, кВт (об/мин)",4 х 2
31,"Электродвигатель привода гидронасоса, кВт (об/мин)",55
32,"Электродвигатель привода станции смазки, кВт (об/мин)",008
33,"Электродвигатель насоса охлаждающей жидкости, кВт (об/мин)",012
34,"Электродвигатель транспортера стружки, кВт (об/мин)",055
35,"Суммарная мощность установленных электродвигателей, кВт",3628
36,Габариты и масса станка,
37,"Габариты станка (длина ширина высота), мм",3970...5470 х 1750 х 2000
38,"Масса станка, кг",6500
